2
24/07/2018 4:03:41 PM
Wavelength (nm)	Absorbance
229	2.261
230	2.246
231	2.233
232	2.220
233	2.208
234	2.196
235	2.192
236	2.202
237	2.216
238	2.241
239	2.276
240	2.315
241	2.350
242	2.382
243	2.419
244	2.453
245	2.485
246	2.514
247	2.544
248	2.575
249	2.605
250	2.627
251	2.644
252	2.675
253	2.704
254	2.724
255	2.735
256	2.746
257	2.733
258	2.719
259	2.710
260	2.692
261	2.670
262	2.642
263	2.611
264	2.566
265	2.514
266	2.455
267	2.402
268	2.346
269	2.290
270	2.243
271	2.192
272	2.137
273	2.082
274	2.026
275	1.969
276	1.907
277	1.839
278	1.769
279	1.701
280	1.635
281	1.569
282	1.505
283	1.439
284	1.377
285	1.320
286	1.263
287	1.197
288	1.132
289	1.074
290	1.013
291	0.949
292	0.885
293	0.824
294	0.763
295	0.707
296	0.661
297	0.621
298	0.585
299	0.555
300	0.526
301	0.500
302	0.477
303	0.454
304	0.430
305	0.409
306	0.391
307	0.375
308	0.357
309	0.341
310	0.329
311	0.318
312	0.307
313	0.295
314	0.283
315	0.271
316	0.264
317	0.257
318	0.248
319	0.238
320	0.229
321	0.218
322	0.202
323	0.188
324	0.177
325	0.164
326	0.157
327	0.144
328	0.131
329	0.117
330	0.109
331	0.095
332	0.079
333	0.066
334	0.049
335	0.042
336	0.034
337	0.028
338	0.017
339	0.010
340	0.000
341	-0.008
342	-0.019
343	-0.030
344	-0.043
345	-0.052
346	-0.062
347	-0.071
348	-0.080
349	-0.087
350	-0.094


17
24/07/2018 4:06:50 PM
Wavelength (nm)	Absorbance
220	1.425
221	1.363
222	1.312
223	1.272
224	1.231
225	1.188
226	1.147
227	1.117
228	1.105
229	1.098
230	1.090
231	1.087
232	1.083
233	1.086
234	1.095
235	1.114
236	1.134
237	1.158
238	1.191
239	1.225
240	1.263
241	1.297
242	1.330
243	1.365
244	1.396
245	1.427
246	1.454
247	1.487
248	1.519
249	1.546
250	1.566
251	1.585
252	1.616
253	1.645
254	1.665
255	1.678
256	1.688
257	1.680
258	1.673
259	1.669
260	1.662
261	1.650
262	1.633
263	1.613
264	1.588
265	1.559
266	1.526
267	1.489
268	1.449
269	1.406
270	1.370
271	1.334
272	1.298
273	1.260
274	1.222
275	1.183
276	1.143
277	1.102
278	1.060
279	1.008
280	0.957
281	0.909
282	0.860
283	0.812
284	0.765
285	0.723
286	0.682
287	0.639
288	0.595
289	0.557
290	0.517
291	0.474
292	0.435
293	0.394
294	0.355
295	0.320
296	0.291
297	0.266
298	0.246
299	0.230
300	0.213
301	0.200
302	0.190
303	0.180
304	0.166
305	0.160
306	0.151
307	0.146
308	0.139
309	0.132
310	0.125
311	0.119
312	0.118
313	0.112
314	0.105
315	0.097
316	0.095
317	0.094
318	0.093
319	0.092
320	0.086
321	0.083
322	0.077
323	0.073
324	0.070
325	0.066
326	0.062
327	0.058
328	0.055
329	0.051
330	0.048
331	0.043
332	0.036
333	0.030
334	0.024
335	0.020
336	0.018
337	0.015
338	0.009
339	0.007
340	0.000
341	0.001
342	-0.004
343	-0.008
344	-0.010
345	-0.009
346	-0.010
347	-0.012
348	-0.015
349	-0.017
350	-0.017


24
24/07/2018 4:07:38 PM
Wavelength (nm)	Absorbance
220	1.675
221	1.601
222	1.538
223	1.481
224	1.430
225	1.382
226	1.329
227	1.294
228	1.280
229	1.266
230	1.256
231	1.249
232	1.241
233	1.238
234	1.240
235	1.249
236	1.264
237	1.281
238	1.308
239	1.340
240	1.373
241	1.405
242	1.438
243	1.475
244	1.504
245	1.536
246	1.563
247	1.597
248	1.629
249	1.658
250	1.681
251	1.696
252	1.729
253	1.759
254	1.778
255	1.790
256	1.800
257	1.787
258	1.774
259	1.773
260	1.762
261	1.749
262	1.731
263	1.709
264	1.682
265	1.652
266	1.617
267	1.579
268	1.538
269	1.496
270	1.463
271	1.427
272	1.389
273	1.353
274	1.314
275	1.277
276	1.235
277	1.192
278	1.145
279	1.093
280	1.043
281	0.991
282	0.940
283	0.887
284	0.837
285	0.794
286	0.750
287	0.702
288	0.657
289	0.615
290	0.573
291	0.528
292	0.486
293	0.442
294	0.402
295	0.366
296	0.334
297	0.309
298	0.288
299	0.272
300	0.256
301	0.243
302	0.230
303	0.218
304	0.204
305	0.193
306	0.185
307	0.179
308	0.168
309	0.160
310	0.152
311	0.145
312	0.141
313	0.134
314	0.125
315	0.116
316	0.111
317	0.107
318	0.104
319	0.103
320	0.100
321	0.095
322	0.089
323	0.082
324	0.077
325	0.073
326	0.069
327	0.065
328	0.062
329	0.057
330	0.051
331	0.043
332	0.039
333	0.031
334	0.026
335	0.020
336	0.013
337	0.013
338	0.008
339	0.007
340	0.000
341	0.000
342	-0.008
343	-0.013
344	-0.019
345	-0.022
346	-0.026
347	-0.030
348	-0.035
349	-0.037
350	-0.034


32
24/07/2018 4:08:18 PM
Wavelength (nm)	Absorbance
220	1.442
221	1.378
222	1.331
223	1.289
224	1.247
225	1.208
226	1.165
227	1.135
228	1.124
229	1.116
230	1.107
231	1.101
232	1.097
233	1.096
234	1.103
235	1.118
236	1.135
237	1.151
238	1.180
239	1.215
240	1.248
241	1.282
242	1.311
243	1.346
244	1.376
245	1.408
246	1.433
247	1.465
248	1.498
249	1.526
250	1.548
251	1.562
252	1.594
253	1.624
254	1.645
255	1.655
256	1.666
257	1.654
258	1.644
259	1.643
260	1.633
261	1.621
262	1.604
263	1.581
264	1.554
265	1.527
266	1.494
267	1.458
268	1.419
269	1.379
270	1.346
271	1.315
272	1.280
273	1.244
274	1.204
275	1.165
276	1.126
277	1.085
278	1.039
279	0.984
280	0.936
281	0.887
282	0.841
283	0.793
284	0.746
285	0.704
286	0.666
287	0.623
288	0.578
289	0.539
290	0.501
291	0.457
292	0.417
293	0.377
294	0.337
295	0.304
296	0.276
297	0.253
298	0.233
299	0.218
300	0.201
301	0.188
302	0.178
303	0.167
304	0.155
305	0.148
306	0.141
307	0.137
308	0.131
309	0.126
310	0.119
311	0.113
312	0.110
313	0.103
314	0.097
315	0.089
316	0.083
317	0.078
318	0.076
319	0.076
320	0.074
321	0.068
322	0.063
323	0.058
324	0.054
325	0.051
326	0.048
327	0.044
328	0.041
329	0.037
330	0.036
331	0.030
332	0.028
333	0.023
334	0.020
335	0.017
336	0.014
337	0.013
338	0.007
339	0.006
340	0.000
341	0.001
342	-0.008
343	-0.013
344	-0.018
345	-0.020
346	-0.024
347	-0.029
348	-0.033
349	-0.039
350	-0.038


38
24/07/2018 4:09:10 PM
Wavelength (nm)	Absorbance
220	1.327
221	1.266
222	1.214
223	1.172
224	1.129
225	1.091
226	1.047
227	1.017
228	1.006
229	0.997
230	0.989
231	0.984
232	0.979
233	0.978
234	0.984
235	0.999
236	1.016
237	1.034
238	1.067
239	1.101
240	1.137
241	1.175
242	1.209
243	1.244
244	1.279
245	1.313
246	1.341
247	1.377
248	1.412
249	1.439
250	1.463
251	1.482
252	1.513
253	1.544
254	1.566
255	1.576
256	1.588
257	1.579
258	1.568
259	1.567
260	1.559
261	1.547
262	1.531
263	1.512
264	1.488
265	1.460
266	1.430
267	1.393
268	1.352
269	1.313
270	1.278
271	1.244
272	1.209
273	1.173
274	1.133
275	1.097
276	1.060
277	1.019
278	0.974
279	0.923
280	0.874
281	0.828
282	0.783
283	0.736
284	0.689
285	0.648
286	0.609
287	0.566
288	0.523
289	0.484
290	0.445
291	0.400
292	0.361
293	0.322
294	0.286
295	0.254
296	0.226
297	0.200
298	0.181
299	0.166
300	0.150
301	0.136
302	0.126
303	0.117
304	0.107
305	0.102
306	0.097
307	0.093
308	0.089
309	0.086
310	0.079
311	0.073
312	0.073
313	0.067
314	0.061
315	0.056
316	0.052
317	0.048
318	0.049
319	0.047
320	0.043
321	0.041
322	0.040
323	0.037
324	0.036
325	0.034
326	0.030
327	0.028
328	0.027
329	0.022
330	0.020
331	0.014
332	0.007
333	0.005
334	0.005
335	0.002
336	0.000
337	0.001
338	-0.004
339	-0.001
340	0.000
341	0.000
342	-0.007
343	-0.010
344	-0.015
345	-0.013
346	-0.013
347	-0.018
348	-0.022
349	-0.024
350	-0.022
