,Cycle,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1
,15,2103.14145565619,1987.21455082299,2109.62125805238,927.802925493382,746.598190384832,777.318654491565,77.8106455996049,77.943577562909,86.0417660666117,2.29542374762059,1.61152958937055,1.7584873325809,4.70928492298935,3.76253865920035,8.79116591960747,3.80803996806981,34.5096649023958,4.98097706556746,7.14918298448538,2.17106098278737,8.39951602985457,3.11587073134069,1.05811541707999,25.6764879023708,18.7594007169282,23.85235939429,-1.24741753676017,10.2269720951886,20.1652336186485,18.7405041254451,5.65027060103967,21.3764013771565,8.05589623060359,12.5622439564359,25.2508771966582,13.9215451477962,36.5821159758484,35.5322003962442,8.99067213852504,16.6682304385149,28.4304149179579,17.3932392729371,9.67414839394132,11.7800185504693,19.4917163663035,22.6462672439343,0.197018145545371,40.4432660593384,26.1124403563558,10.2832879402004,55.765912725959,-1.99243247955928,74.9677444717081,19.8160588254159,16.0285794081465,39.1115980789527,57.4478132553932,10.9423403259298,29.6369508897583,5.33320963210144,3.34358576367458
,16,2297.33579240799,2264.27332895576,2335.81034056299,1317.43574754409,1128.03256014304,1158.98085851702,148.402065563807,152.130016330187,167.239475783408,8.24443424006313,1.75181512393419,9.04925872672311,11.0397501997027,7.60921898171227,18.1165783993147,11.2854719742286,63.6703701577449,3.78355346717899,20.3151302263655,5.44836786337873,22.7827569492929,11.4585835263297,-2.0438649216735,47.3499975691989,38.2695673225026,46.5798773003235,3.01104748727994,23.0482441343679,34.4300762749467,42.4503093056655,13.9253711306255,48.9562784267455,19.125224374236,23.1686339823818,46.1503808551865,33.5637531479179,62.1711694296159,62.1997175942147,15.3170994682441,32.53433576521,52.0353034763834,31.7559351578188,21.5938282076854,25.4768977369295,43.7075901479661,49.1402395864752,4.68073434055623,76.3378192078235,57.1707764845874,25.5500486236206,107.561909799583,-2.18028717010384,130.859607867089,37.2770666134925,31.3163546394653,74.2383580919154,110.263804874691,24.8240756956097,55.7345953560593,15.6672993748475,3.11540205133861
,17,2434.24828626255,2469.98306801875,2497.47050102031,1676.35888740781,1522.63142455183,1546.20838766422,277.272849226672,280.198430020364,302.38798217053,23.5497262102444,9.73058714578747,17.4344031128753,20.7469057144895,14.0826214608142,29.8736661950279,16.8302187718882,117.100770419393,14.277344938127,33.5835800890545,12.3672762683177,40.5837927592684,22.6791184389581,-3.53185877459737,89.3216128777854,67.4131095339135,84.2193007990804,9.21278038977971,46.7558402564664,70.2268449432763,75.9639321087384,29.4133869226466,86.2673701933518,40.8496966707462,46.4416999409009,86.9885665186189,61.0245329475206,111.181792009367,118.11611212188,28.9082087918623,61.6190748308759,93.8502052349395,58.5991009283089,38.3801244935294,46.6356729456597,86.5534044020692,91.0617620963603,12.3726201526501,144.398160471984,102.311304767034,55.1432639390746,193.92160931565,-0.905886972985627,226.938332224216,71.1358009390287,57.0390774859616,134.364429606019,200.668945541488,53.6809931968878,100.158288499284,31.4082985872774,0.813455775889906
,18,2528.54652145359,2620.81697093981,2610.12395212944,1978.53340521571,1877.54395478287,1892.5619960945,484.107341724372,485.448662617545,523.240423356689,45.4712621325648,24.6243305003354,37.9469153642667,30.9109925136286,27.4654026705516,58.5510516364143,31.6326164926613,206.061624288286,23.0774603911632,57.6256543393711,25.7294396098914,75.8480114808199,48.8473046352142,-1.99273574948984,158.388669697357,124.885650286962,148.497785099884,19.5348871600804,87.1589040775211,119.106994878803,140.050832798969,56.9134784827115,156.073739273473,75.9684303026934,80.1152258336674,149.451121781462,115.365694740088,206.166483083935,207.352741076701,54.0765536353774,107.008701634478,165.832528622957,105.800146777187,67.1233648331563,81.4593288538476,153.824304272684,167.264215599378,20.2384037894121,251.584797175217,175.922670864014,101.321515646294,343.599206525749,-3.84065619169587,386.954974189458,125.556016608897,100.762628203693,240.701856582181,348.578445188527,94.4690551598192,179.183301032805,58.2230172569507,2.43099532265023
,19,2596.52198783383,2731.00685444593,2690.17912930694,2208.42126074571,2163.14582059812,2171.84453411304,794.229382871873,787.559347114987,852.510533923428,92.661805345746,55.1563434277705,76.5663321126681,56.4232914937515,49.6949373696698,106.689747818511,60.7458142662458,356.684218661262,41.8181670723739,109.679326662808,46.2460702286794,140.566190932454,88.0289267762678,-1.49265139807903,272.423633891673,221.137457601945,255.394040695449,41.417303758381,159.500418090739,212.662166479752,244.98692756065,106.293499991846,275.765680913231,137.785909902801,146.349707676361,262.679427592112,205.76400806496,351.401203270731,356.125405373902,95.1803769114927,189.408579541333,290.692578681968,180.086232403469,125.514819092725,147.906915313496,268.24997537474,295.330152825682,37.1360533645334,435.498708623294,307.738901563641,177.863254032301,579.82043012396,-4.17677428782781,630.534740638048,227.982295629387,184.764387460476,415.838305110936,583.381265418196,171.044756707282,316.598741444151,109.880040462472,2.66851412631513
,20,2646.87223993353,2814.93311079925,2749.41571460399,2374.57700368266,2374.51272919068,2381.93189656045,1196.52592297838,1173.06946550404,1269.7944978983,173.142369438016,105.028731841473,141.474825031457,101.76898694512,93.364406726535,178.110377185618,109.379916532448,581.212821879667,78.9857674526725,188.269030254052,80.8197789297401,245.917702584225,154.667140549264,1.45375892816355,455.135449252346,384.933418156944,428.895318939594,77.1010261646629,280.064260679178,367.285461531123,421.469358219702,190.016362161652,467.292684499617,239.227078971952,258.089020298269,445.736167201526,348.725057096923,579.07993944443,576.799802854516,159.178236063461,327.539852859986,488.856415585786,313.595414255939,218.342233769336,257.83993837291,463.971628715157,501.216419137951,68.8629801540847,709.610959295731,508.85253075944,300.232659518471,910.111304141158,-1.38405945523573,973.875627047324,391.644227545993,318.612229847086,681.958341629324,926.173739460919,297.73870458438,533.338781345676,195.583012949934,3.76670154326121
,21,2684.61839462447,2878.20833731548,2793.1575352428,2490.08116389005,2523.948558639,2531.10025395312,1622.41848810244,1571.38465024439,1699.51881774492,315.008467019821,201.654341359055,253.996942639731,184.119324803119,164.961731931985,309.69637736392,187.807437445741,891.572267092245,134.986738375291,328.691377870397,151.205192648207,425.619796492046,271.372252417853,-1.82640607459598,738.134171713908,642.731830039073,702.321865240617,144.345830160657,480.950888310755,612.965703170689,696.221802927022,328.847921425149,765.09341104746,417.285330315817,442.494860846067,736.606189760179,586.954602468979,899.539054275957,878.743042872401,274.743024892238,549.868020245794,779.384372686151,524.084882719833,375.731821755349,433.029418332636,752.046114252305,808.477912485933,112.811449840749,1095.84811931204,813.76745541677,498.15638285015,1362.13238910331,1.79217237781631,1407.81823017652,652.690137131258,532.623917382602,1078.27091900062,1398.53210531274,509.382801226884,865.698126794658,339.657828062334,-5.47754831974771
,22,2712.35224259388,2925.62678945085,2827.24562191665,2571.30867358284,2630.90551357484,2639.84624113669,2004.78572150546,1927.44682352475,2082.59734730066,545.264854940547,354.778512850695,444.266918159944,319.416893172394,283.9204581302,508.979017290583,317.737354560421,1257.05519529785,243.157657643279,545.843241815386,261.748905942987,704.032849358709,450.943196093751,0.585365595275107,1115.86003680865,1004.59958715515,1085.31709921855,251.075695961526,781.875523423059,962.543720185838,1091.09807489372,560.678069875728,1167.08690904384,680.410258933175,731.019747426199,1131.42952903407,928.955728632102,1291.50722131258,1223.7337655199,462.849223574649,861.588003760943,1157.64982376868,827.944994206433,623.724393837746,696.847045753143,1141.50504515822,1204.4150176463,188.349972779698,1550.24916782185,1205.63940106316,741.716587012615,1802.54650112455,-1.15630127451004,1821.37657453311,1034.63891188511,851.904372251643,1579.77637485521,1871.56572288449,833.409059295364,1330.6409815167,572.752364975193,0.545336002952808
,23,2732.94515970791,2962.64103167329,2852.69891881516,2626.66773095075,2706.43733010715,2716.90758462529,2316.31162882757,2216.11056395942,2391.83439611497,873.663809955253,597.235211718903,731.500906124626,529.912613349876,477.335799609411,799.454378623943,526.917352007677,1594.60181531504,408.878302741437,860.16759683915,445.73868137976,1079.85143244049,700.411943304909,1.27905747255909,1543.94774979687,1454.29014154123,1552.51179233915,438.76018736558,1194.95188703224,1409.65366541153,1560.11264037493,893.667530138081,1633.4595653849,1058.85031972607,1132.36554002908,1602.47848891495,1376.01399262447,1656.67427196286,1538.41121112914,744.741016961742,1256.75841587646,1557.81651206615,1217.13201094975,974.402100937196,1051.39904577567,1573.74734931841,1625.66361530775,303.432278797854,1968.36204130074,1602.70428833868,1028.65573319011,2191.68373935791,0.263114749852321,2178.87594120817,1519.60415167547,1275.66066464459,2064.53326432192,2303.8461217313,1282.42896936607,1808.79400382533,926.222067401373,-2.11868445171604
,24,2749.36619395493,2991.86012907295,2872.75196637889,2666.85812942918,2759.04459181091,2774.92022079705,2546.4864344512,2432.22884075101,2621.81345103561,1290.77420294565,939.314165470124,1111.83197607049,832.513250513557,760.738365500785,1167.57580908124,833.993723474629,1865.80559974713,664.099149852858,1261.47239896209,724.383033448286,1542.6995906132,1010.38398318747,2.48039350249564,1931.55531844858,1878.45889246409,1990.61943345422,726.30852364912,1656.8323163055,1839.82894147465,2002.60549956308,1340.97279795928,2058.41347039289,1513.90171256073,1617.36592152106,2038.45683664248,1813.75116136359,1951.12034891574,1787.04519195267,1124.95662113039,1635.65567180622,1906.79024626322,1597.73479139906,1416.77059788198,1449.93118559773,1959.43789611129,1994.63484158565,464.045901911444,2299.58484144001,1932.86200362058,1292.03305500494,2474.27874608307,5.51741752650241,2434.59455572678,1987.17284167906,1697.40281187135,2486.6098521904,2629.07903446265,1819.16951337813,2261.50151792718,1417.80411213561,1.44121612397566
,25,2760.95152104739,3015.2227776514,2887.82476117502,2695.40451375589,2795.95799261023,2815.42349992786,2711.88188045106,2590.1934602051,2788.98632125963,1697.21302815602,1338.62002388426,1523.70162158939,1204.90132539248,1110.78401633644,1527.95151532465,1237.13707625658,2041.03424143316,1020.53385429474,1646.06276591308,1091.24929979671,1973.82479091657,1295.52061452229,5.07831303944658,2237.84961507569,2228.97228320746,2354.28541323262,1125.58107065577,2073.51530837719,2208.43859602093,2371.9617581113,1786.71571488743,2400.05285392969,1941.78251417996,2067.75184021936,2394.33388462606,2201.23604499568,2142.32767131613,1944.20776123375,1555.10113011272,1960.69065226096,2162.85835344203,1933.71181408121,1837.95120681316,1809.39781675837,2259.19232914019,2266.65390710716,664.690152432852,2509.1606297417,2162.72079217792,1507.7606235789,2630.35654852187,10.7304602778536,2578.65692965925,2391.92332767752,2080.59578602642,2785.47477021795,2820.3662972859,2314.99807515654,2622.93084755376,1915.17635261161,2.47720451374516
,26,2771.31035416271,3034.39383623523,2901.55672795747,2717.32426840787,2820.32755533474,2847.00331216121,2827.56902263076,2703.15358366995,2907.89849347328,2060.15289179443,1715.40269032702,1899.06491989135,1558.77116121473,1460.42224200569,1830.93211412874,1633.74608124436,2122.38895411762,1440.52154314673,1974.62700369334,1493.87749826022,2327.77223141291,1534.44592236502,4.86576882135159,2430.34783127242,2456.99922485793,2595.51669736105,1609.05837713366,2392.78325500092,2462.42730023032,2617.02423540226,2186.57913768512,2614.37067879104,2298.85136561015,2435.11755150561,2627.32385248612,2479.56596169684,2225.23672881475,2011.77977757883,1942.79051745189,2183.8538089086,2303.78742341268,2177.24996772897,2196.86077893346,2087.93320543904,2436.2210209264,2420.02861338527,880.208207419919,2598.31726501995,2282.54204175635,1646.91049302247,2677.69190241746,17.5878687976392,2618.55215921643,2674.16392891009,2364.94447427516,2945.42327179764,2889.57228590529,2716.01078347702,2850.70811082096,2375.02468008782,-3.25051013805387
,27,2779.01983828239,3050.8058461828,2912.41781639768,2731.35971002205,2840.40443829668,2870.88133518545,2912.85759221479,2785.9133330339,2996.28188933536,2350.18687533506,2040.37912620428,2210.29602366855,1860.58570718462,1755.6986194941,2037.98984421913,1987.66888098895,2132.0812999093,1828.29900762802,2203.93773000651,1846.08170484743,2566.24449568386,1698.17731888643,8.14419056204997,2514.37857740312,2558.16062686637,2712.57301719731,2053.84809945379,2587.27068619874,2590.15269261981,2734.52028851958,2480.88462133805,2709.93815848394,2542.88961286663,2673.19018632472,2735.70972858002,2628.30375794715,2230.44754580673,2010.67212902975,2243.6809609128,2299.92120193324,2346.11490765225,2312.83219866238,2446.84100532614,2259.12892965571,2503.12457997011,2468.45873585114,1048.1981421464,2606.57884071599,2329.46643009172,1713.27525083181,2649.1433621508,37.2190227983961,2587.26166275115,2821.10878068694,2530.99269782866,2986.33181934432,2874.72132233784,2979.08521237869,2953.13815714309,2727.45951282015,-2.26067156391036
