,Temperature,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1
,75.6,5578.61673400124,5826.28547285367,5903.68942585472,5916.99796170082,6033.97272900481,5879.38449216325,5878.39877067792,5800.03442501762,5978.79043908095,5793.01398128257,5607.78568210296,5752.1076427764,5160.28939470266,5126.1900377211,4940.62336641926,5282.92648825191,4988.28608182752,5272.10377847036,5112.58957691574,5226.22138242615,5553.65596423529,4726.10849551739,3527.51469878352,5212.9346541786,5385.7467052687,5434.31995993419,5474.40515310901,5346.65270354312,5235.93095675183,5370.68423912125,5217.87337446297,5344.88277986106,5331.70451712163,5418.31187055089,5429.26603793086,5289.98784147009,5163.79039400115,5019.55472972084,5308.50666436579,5259.43453935107,5164.82089767279,5153.65178554496,5369.16642329928,5078.78761382312,5259.60367003799,5268.61033587861,4281.92846711653,5294.73098450405,5531.1342379158,4606.08981013516,5444.75817802727,3862.92382412718,5264.5312932342,5492.58894898643,5265.37893605771,5623.73559208315,5671.45915919757,5739.89367009457,5692.77645536465,5652.07805163623,3402.11365214513
,75.9,5561.18268994241,5806.96722534657,5885.72674299347,5898.38185662434,6014.84569534426,5860.7829381004,5856.62935961571,5780.25436139265,5956.06523365129,5771.60477898442,5587.89871244454,5732.25445881686,5148.24377302558,5114.67812216596,4932.10237317766,5270.38099194801,4979.13614468744,5259.58304315521,5104.44559656068,5212.18257081453,5541.18821644144,4721.37040256522,3506.62616177236,5203.66483592549,5377.27916343143,5424.9835286109,5460.27277884216,5335.91951406965,5227.41371724478,5359.71103839965,5209.84473685438,5335.81084553023,5320.70443755777,5407.30406705693,5420.57115699883,5281.3238877572,5154.29230232561,5009.70554700012,5298.40174911505,5249.21667136139,5155.28408093973,5144.96617835315,5359.75193318804,5069.90672435427,5252.40298591544,5259.23871054077,4273.86390864924,5287.02289840338,5522.37081217245,4601.77964204695,5439.51324441969,3847.11565447523,5255.63662528045,5486.49285309585,5258.4528288315,5616.19473212901,5663.4413199444,5731.00955253564,5684.01130773589,5643.63779188669,3389.50055646006
,76.2,5543.28184132357,5787.03518447733,5867.77686182599,5879.98194095151,5995.83901474534,5842.26411341388,5834.99983884597,5760.12194317418,5932.72517993836,5749.54388092145,5567.60297953475,5712.20022466903,5135.38377520721,5102.8001976107,4922.54663795845,5257.19434319407,4969.05418728637,5246.95986821312,5095.81812311429,5197.25447796524,5528.33480167944,4715.43005990574,3484.1130677237,5193.23577528129,5368.38545424161,5415.13440425197,5445.25617630589,5324.12586681878,5217.73470798285,5348.06348395102,5201.42189262094,5326.05594018498,5309.03392550604,5395.46994304731,5411.20625598939,5271.97689051894,5144.16380354116,4998.99063934558,5286.85835463713,5238.32572819486,5145.15911610584,5136.10743649074,5349.37057871366,5060.31398783349,5244.37282963097,5249.40657797173,4265.53461926307,5278.01984291998,5512.69395233278,4597.11227220783,5432.69800981874,3830.76309312979,5246.04327852291,5479.34307858591,5250.95346815953,5607.56618793057,5654.40476687957,5721.53377496322,5674.47985196587,5634.39710106885,3376.28645481103
,76.5,5524.96409370062,5766.44734187466,5849.69395959302,5861.57834429778,5976.76052944769,5823.62597670518,5813.05816378987,5738.98977337062,5908.55506115725,5726.56316815702,5546.84980869834,5691.57716049326,5122.09989153793,5090.60956191146,4912.13366114447,5243.27058484133,4958.31094459094,5234.0520735058,5086.17943955422,5181.23256858258,5514.67586819188,4708.54451848498,3460.1083679972,5181.81574219073,5358.39170758103,5404.18441081324,5428.78236593655,5311.10124230134,5206.43886978674,5335.21312728108,5191.66877238364,5314.95267789163,5296.15836774396,5382.58258638053,5400.7969865482,5262.1498411032,5133.40493694366,4987.36227225112,5274.10841806816,5226.7142741295,5134.54649878844,5126.29483923539,5338.37420844834,5049.87470480144,5235.23288587007,5238.71087201871,4256.94718479177,5267.5769143453,5501.64881029299,4591.41695402866,5424.40762251334,3813.54534141023,5235.4506664252,5470.43848781878,5242.14303703306,5597.53734384972,5644.07994573439,5711.11196877991,5663.92743751874,5624.37970323965,3362.00956882633
,76.8,5506.76834663513,5744.78535020653,5831.31863050698,5842.82242938135,5957.21723535963,5804.3654590327,5790.75839438481,5716.74778418511,5883.04576885882,5702.00268613798,5524.9404291321,5670.04315049837,5108.10632818006,5078.1932052917,4900.94407217577,5228.11220594478,4946.53957500438,5220.2085101266,5075.4864863277,5164.060299759,5499.52782210836,4700.67714820998,3434.52999894206,5169.04297039765,5346.77527537296,5391.60553681961,5410.75437322783,5297.03430043406,5193.61099548862,5320.98815530943,5180.22896860775,5302.18894718438,5282.03072185367,5368.29958723279,5388.7553365153,5251.431556987,5121.80088562871,4974.52290594924,5260.14439081006,5214.15083668987,5123.40801439226,5115.70117781423,5326.35042892984,5038.21088769723,5224.66512389807,5227.00549569725,4247.72101734924,5255.51149145646,5489.19367258702,4584.83828167643,5413.92782185651,3795.22719712505,5223.79993767634,5459.71556432473,5231.9013911491,5585.77661821206,5632.18522628758,5699.46077713634,5652.17530838472,5613.68337704596,3347.10459852046
,77.1,5487.99030649213,5721.85094712594,5811.79237946884,5823.69507530843,5936.85049214166,5784.0113608031,5767.57061916342,5693.07165436789,5855.82522973602,5675.81738958633,5501.64402923143,5647.1823240109,5093.42313644994,5065.00394124541,4888.95944641976,5211.94902036988,4934.10002816296,5205.61610292644,5063.80301879381,5145.6401073257,5483.02561742388,4691.35464910096,3407.62600167297,5154.56748663525,5333.36881632783,5377.08258875033,5390.86880653934,5281.57327466348,5178.95620215155,5305.01061628819,5166.59054492273,5287.35033938443,5266.80692701178,5352.52161071368,5374.40565587813,5239.47175499254,5109.11265488385,4960.96887711792,5244.93834785782,5200.72185441477,5111.31536538854,5104.102084813,5312.82271097348,5025.24625496655,5212.6366884648,5213.69359759096,4237.25472758338,5241.69442103703,5474.95886486691,4577.09645314131,5401.18751078668,3775.62570578186,5210.52351771289,5446.73839237902,5219.7399494362,5571.72077426239,5618.80574727805,5686.00763923111,5638.50294776578,5601.08610741741,3331.65620298485
,77.4,5468.27923182293,5697.09238434888,5790.77785475502,5803.58433723714,5914.76724999733,5761.85905091083,5742.97326967398,5667.64350013994,5827.25715837304,5648.01463559848,5476.70176782208,5622.71730622651,5077.74886270531,5051.22469155179,4876.3627222602,5194.74995439325,4920.84340147902,5190.15675516998,5050.96358163436,5126.06519416992,5465.22845116165,4680.34624115985,3379.44014819561,5138.34793643615,5317.75036178525,5360.6943644387,5368.68896179938,5264.24678929977,5162.60794058774,5287.57048058727,5151.35421035647,5270.90430272721,5249.9555170046,5335.14742153644,5357.96861604648,5226.16569404716,5095.23972416663,4946.39530478384,5228.56959609315,5186.49614078095,5098.1800688874,5091.16260972399,5297.85876491845,5011.10566028297,5198.92261971241,5198.7263781033,4225.54658476179,5226.24233445019,5458.32699039996,4567.40288102924,5386.04669049465,3754.52141187737,5195.8179376291,5431.60218635253,5205.29205895874,5555.30579074388,5603.25314456804,5670.20151080402,5622.50439978797,5586.34239067634,3315.95785986995
,77.7,5448.03984938573,5671.15310721939,5768.19346101954,5782.21371648066,5890.90259173979,5737.7883253097,5716.69944264933,5640.71648801284,5797.29607694171,5618.88761340446,5450.26703509684,5596.47433921551,5061.34899814258,5036.48094103396,4863.05370920482,5176.44680554273,4906.72070915079,5173.10916055665,5036.64418913059,5105.43748515812,5445.86898704456,4668.03775312046,3350.19916415321,5120.92367899418,5299.62854672,5342.04473206322,5344.82553130853,5245.38152562466,5144.42286385989,5268.20992696121,5133.61549267073,5252.23286169381,5231.36612930729,5315.66278833727,5339.36121729369,5211.00382591897,5080.22718300276,4930.58923335718,5211.445112746,5171.33933681868,5084.13162564688,5076.62978616658,5281.46324403913,4995.46201805438,5183.37254967983,5181.89669448209,4212.7209719461,5209.23982885217,5439.32708542838,4556.28608664429,5368.98248570275,3731.65777847159,5179.28676648248,5414.20987145895,5188.25973423866,5536.70251928565,5585.80437287322,5651.54874377722,5604.46024708812,5569.27366977096,3299.6433032382
,78,5426.9243922291,5643.96790003933,5744.00135560761,5759.15548838805,5865.26826838146,5711.76323006252,5688.98889066731,5612.70833214591,5766.28296355868,5588.72254131445,5422.38853078984,5569.01725962508,5044.09849618415,5020.2503034236,4848.74687068961,5156.99715195299,4891.81680913009,5154.78886427532,5021.4997441197,5084.09192928395,5424.94958705095,4654.66454847312,3320.07708563059,5102.36951887748,5279.82511445754,5321.9398864353,5319.70521579794,5225.15306182232,5125.18036917569,5247.53403512341,5114.1729079532,5231.75392419938,5211.4661510037,5294.71851781165,5319.01995362013,5193.90324609195,5064.03381663648,4914.31274531292,5193.45883724177,5155.22594919782,5068.65915385407,5061.09118000719,5263.36204935859,4978.18461343593,5166.19068601973,5163.51956630163,4198.88365450264,5190.93951598488,5418.7551081805,4544.21345853252,5350.03667409895,3707.34187714659,5161.3671116572,5395.4446930097,5169.53387694244,5516.15571779873,5566.43016142156,5630.40855432373,5584.02164486774,5549.7518333226,3283.30332698331
,78.3,5404.30713896883,5615.85986010857,5718.2189568389,5734.54777072496,5838.26637334287,5684.42248439708,5660.07037908593,5583.52098347789,5734.48986983615,5558.13999941592,5393.47838926086,5540.34325032078,5026.09526931131,5002.40400259149,4833.31217756751,5136.70425799343,4876.07525314943,5135.11800454917,5005.27678133219,5062.01299548434,5403.1723224997,4639.97961574844,3289.52113099076,5083.03162973086,5258.54262600584,5300.59412471375,5293.54256302635,5203.73563378909,5104.696318672,5225.97903970585,5093.61729365462,5210.1695805397,5190.41064633557,5272.49213544616,5297.68684277824,5174.91254492945,5046.7055918963,4897.7261515192,5174.38126947175,5138.05098149853,5051.77881948645,5044.24711838122,5243.83586791602,4959.79086126827,5147.63592945439,5143.63217184857,4184.15000871645,5171.45363018952,5396.8556360043,4531.04392488952,5329.89786702556,3681.50636794966,5142.02389675152,5375.35709077607,5149.25625090964,5494.08701177117,5545.30749126921,5606.81749295649,5561.51867101626,5527.88535287091,3266.3918138014
,78.6,5380.82072606866,5587.17779775772,5691.75217774252,5708.77019163366,5810.03947081384,5656.15040716186,5630.15811775104,5553.81294982943,5702.46175182882,5527.18956055998,5363.71572232293,5510.73189655566,5007.31509662977,4983.5026901507,4816.89126147655,5115.82137669332,4859.57081545772,5114.08921082658,4987.91198261885,5039.18908370069,5380.43526054678,4624.67440391359,3258.3623688365,5063.27096022083,5236.31781495587,5278.43583788298,5266.86706928274,5181.50241169806,5083.61097307048,5203.96731134918,5072.43751559728,5187.74083886938,5168.33443365629,5249.49223572807,5275.78707942992,5154.27626652878,5028.40525022597,4880.62150588769,5154.47037564583,5119.89430876984,5033.99152383933,5026.32744395765,5223.17402968672,4940.35534046304,5128.12666533157,5122.94924749664,4169.09753674958,5151.04614890841,5373.68043459799,4517.13790876973,5309.02384285752,3654.04850895098,5122.20571607982,5354.45150923669,5127.96118653527,5471.15480165956,5522.68418461699,5581.61006386142,5537.73390817052,5504.47654628198,3248.8896411279
,78.9,5356.54033639525,5558.37714573261,5665.02734659435,5682.05670678821,5781.60269779177,5627.42380703686,5599.63955991508,5523.78991716506,5670.39368223913,5496.23370730544,5333.58930430138,5480.75332361501,4988.02451897223,4963.55359472497,4799.36508055447,5094.19923398313,4842.20760341757,5092.09669682481,4969.6883091246,5016.26168475335,5357.04720206851,4608.87345969669,3226.80809144535,5043.09359578196,5213.64667910288,5255.5511294959,5240.19408814175,5158.83625228263,5061.80664931888,5181.14586982101,5050.44589128453,5164.24389437797,5145.61482513274,5225.79255267336,5253.14886652365,5132.37353610046,5009.58805165737,4862.93025002052,5133.73596472282,5100.84761820893,5015.05405867244,5007.82233214233,5201.61028536234,4920.22939498344,5107.77919221757,5101.60002553889,4153.82969468495,5130.03670596709,5350.12266627067,4503.02971422424,5287.51625596794,3625.05225603526,5101.66427745259,5332.64793792512,5105.90156503506,5447.46462792819,5499.41293615716,5555.47726236557,5513.00160002508,5479.77655311665,3230.94128920103
,79.2,5331.48985343551,5529.48755339242,5637.98042033414,5654.64319688433,5753.04969595435,5598.55718214936,5569.06990868007,5493.53922124889,5638.33309450396,5465.20024323112,5303.19756199214,5450.6805424217,4967.89134797172,4942.69416989743,4781.17274531251,5072.05919840678,4824.76811966739,5069.90297855999,4950.86393236883,4992.9685540773,5333.45319334453,4592.93179165014,3195.1366042152,5022.70707197542,5190.76650710559,5232.68964262618,5213.30795689819,5135.72253459309,5039.59732392313,5158.13092459688,5028.46668028981,5140.55094277521,5122.73679239752,5202.08674784168,5230.04013044938,5109.91433631399,4990.29179611625,4845.36095525495,5112.37328561124,5081.08858686566,4995.22680881045,4988.88201930823,5179.56290957708,4899.84375754876,5086.87959453925,5080.00472314855,4138.10162822142,5108.58481977474,5326.38540731544,4488.58422884961,5265.53744237059,3594.80058510975,5080.58517989021,5310.53773390531,5083.81831896553,5423.37931705229,5475.36094423657,5528.94082777963,5487.68904287161,5454.39627831895,3212.77812544517
,79.5,5306.17603041507,5500.49038132041,5610.98373718284,5627.26869795135,5724.43929228015,5569.94534429349,5538.45503413117,5463.0461039898,5606.24798382919,5434.13700538184,5272.85766290494,5420.26115826379,4947.4524186197,4921.82260899554,4762.62750395702,5049.68922017102,4806.81519128426,5047.21731340872,4930.94607549461,4969.46124764812,5309.86466348181,4576.57145842257,3163.9756332319,5001.96286153817,5167.45453209358,5209.54788531687,5186.35180223609,5112.6879658096,5016.73876784152,5134.57732539438,5006.2270823005,5116.79715615353,5099.71100279859,5178.07842293678,5206.67012585567,5086.65362301759,4970.75106907023,4827.56061158655,5090.40628758648,5060.76938271467,4974.83620156349,4969.55274628555,5157.20384262931,4879.509168225,5065.66191248469,5058.19863451044,4122.01694202349,5086.87272758147,5302.13353118104,4473.87957774735,5243.24594341906,3563.17956750753,5059.2887390422,5287.78907466067,5061.35837341451,5398.92878989492,5450.92118568648,5502.07286931173,5462.36406113522,5428.37870379783,3194.33295811788
,79.8,5280.85381548635,5471.49143165242,5584.15859885615,5600.26591198961,5695.69906554102,5541.2403219488,5507.71231185873,5432.84499977808,5574.37891180043,5402.88804830334,5242.52069916685,5389.7538640424,4926.87433186988,4900.82292456244,4743.64166280974,5027.10093601265,4788.65290476497,5024.71243596804,4910.57089798537,4945.75650697901,5285.88151439975,4560.0044975595,3133.81803900972,4980.86953481629,5144.10423344818,5186.13946398156,5159.00966312919,5088.96549546943,4993.61893212826,5110.78102177421,4983.56488803277,5092.74226487893,5076.50734587313,5153.77001209611,5183.01486458753,5063.20383905981,4950.75839886881,4809.17581545265,5068.18083724497,5040.49485284525,4954.10608351282,4950.01985873361,5134.67534289791,4859.04262121126,5044.18172681897,5036.39686408554,4105.69036058885,5064.60828568318,5277.31941501861,4459.11475524763,5220.63622169311,3530.97434554741,5037.94507101566,5264.57839238409,5038.50816587213,5374.44919996696,5426.45717344644,5475.36076475876,5437.17028337422,5401.95111324764,3176.40781535337
