,Temperature,A4,A5,A6,A7,A8,A9,A10,A11,A12,A19,A20,A21,A22,A23,A24,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
,64,10222.5614063561,9576.13189771255,9469.19043350193,8998.9000081086,9865.13184360779,10220.6393689079,9153.7491980418,8765.76460952186,9818.0221203761,8131.27972205163,3576.36639914594,8497.00013061964,8487.73835979744,8526.72274495238,8222.1908159855,8078.6357176944,3700.98667527606,8588.93954788999,8407.09459011564,7923.24311456257,8160.84611111237,3959.61731427771,7896.31323355992,8378.72754195748,8665.50928907439,8333.39201351693,7845.00780475305,8065.62104298609,7860.75518839413,8337.94107793375,8124.91319019041,7915.53112858277,7785.05285934668,7702.77197662201,6866.68707055249,7897.00775154067,7972.4577625,7777.04886894812,7806.25869846944,8787.9607958249,8103.22612915346,8362.30745190506,8157.19198931085,8094.7551981177,8627.1921482434,8483.24345913802,8828.3530009154,8756.55508560734,8685.90704794877,8689.92980426821,8288.82875480456,8606.38372262882,8520.7055012124,8201.33556530484,8076.65428853227,8505.05060338059,8430.33801199756,4930.57047740962,6394.55953763855,3719.62160708682
,64.3,10161.4230808165,9519.95486687787,9413.88443571964,8942.38673198385,9804.40742358822,10157.1063111624,9099.19764564095,8714.83660633567,9755.47442005505,8085.60022721688,3570.07921437307,8450.52572789461,8441.21497393577,8480.57298846086,8175.22385611291,8036.94935831523,3695.26110109147,8541.36720119533,8360.80527726625,7880.463143283,8117.13999108043,3946.56077944461,7855.41444692584,8330.23615115518,8616.38361585883,8283.08180113213,7801.02324253948,8020.64271203974,7816.88855905854,8289.10123619163,8078.31684528646,7871.58215083443,7739.85432755619,7661.496855842,6832.88738530326,7855.37999342612,7931.3912311121,7734.80533419183,7765.68779349551,8741.77339995276,8055.98561235808,8313.91856715474,8111.34919303454,8050.13306279175,8580.42360513349,8433.2822688287,8777.84718048693,8703.71016798946,8639.00815256687,8640.59595755293,8242.4208986836,8557.70513428206,8473.57009690713,8155.65207795816,8030.64262143333,8458.6801502514,8384.2517002104,4905.89428672657,6347.37583361002,3706.12068158532
,64.6,10100.6084240613,9464.1415079252,9358.85700467727,8886.05047751521,9743.78870658929,10093.7847230021,9044.60452417175,8663.92698993512,9693.39346317638,8039.69922530802,3563.42834170623,8403.32602661871,8394.64326022319,8433.81881537297,8127.73631041445,7995.00414692672,3689.45197098178,8493.75115878303,8314.95802569049,7837.47033985697,8073.20635415488,3933.61486964759,7814.00178060775,8281.83010582682,8567.27335669149,8232.68780153882,7756.96637850745,7975.53813921311,7772.73635150916,8240.62449666417,8031.70146205009,7827.29586784246,7694.49952767362,7619.9412192004,6798.613975781,7813.76702115688,7889.63963618544,7691.83645515816,7723.90561564295,8695.06920666928,8008.64475705866,8265.32755977181,8065.10344257049,8005.38023024917,8533.67713926151,8383.18068487652,8727.39029853846,8650.82322861672,8591.89536453698,8591.23290063839,8196.08189522308,8509.11333833335,8425.94799616296,8109.4986247073,7984.50735709488,8411.7481389265,8338.02227465894,4881.34637506574,6300.25457195496,3691.52475589955
,64.9,10039.5801906317,9408.39439308464,9303.82816322288,8829.73944165918,9683.13693475859,10030.2595507357,8989.7484517468,8612.92327181982,9631.13318947839,7993.18341635846,3556.85280889994,8355.85385469615,8347.77522089833,8386.51411993088,8079.71042045951,7952.35529123466,3683.95930459611,8445.57452871638,8269.29595456297,7795.10447393586,8028.75754852538,3920.80201301703,7772.89848949254,8233.28122469772,8518.30471630336,8182.1138755273,7712.29475194502,7930.41442727546,7728.25854575524,8191.60803379719,7985.24004247844,7782.37940903957,7649.03454636753,7578.1223334735,6764.38786474565,7771.9818034023,7847.76230921306,7648.87702423125,7682.29358540043,8647.763779582,7961.05075804451,8216.9302391569,8018.56353074991,7960.12965911787,8486.44323648845,8332.77028705335,8676.62464549921,8597.63791351006,8544.24691146512,8541.37461838143,8149.11105210498,8460.35287036087,8377.81007484155,8062.81097240458,7937.84757625657,8364.74887152,8291.41561372509,4856.96974385146,6253.28367014564,3676.23677379829
,65.2,9979.41771143784,9352.87728163828,9249.25458736927,8773.74700665491,9622.62872097774,9967.1834043859,8935.32062212047,8561.71905218837,9568.89131486305,7946.12223228728,3550.15915129505,8308.23161913515,8300.34795214002,8338.79579846966,8031.3197486925,7909.87361840328,3678.55083739629,8397.3109203151,8223.95783823252,7752.72679562297,7984.02326083473,3908.52584683112,7731.37785601492,8184.72951160105,8468.99439362824,8131.4574481956,7668.22394903391,7885.44726402344,7684.03163624218,8143.54467961782,7939.25780089179,7737.44198777265,7603.96818420526,7535.80498977005,6729.56966211846,7729.49625855425,7805.64428034346,7605.29414625462,7640.00378919789,8600.09561006594,7913.17014466152,8168.61230018194,7972.26699815867,7914.98403503717,8439.32793198243,8282.27442698871,8625.35021164224,8544.86758591554,8496.25241046051,8491.8345477321,8102.58106149959,8411.60349357126,8329.53328620877,8015.95428200599,7891.33108012834,8317.60784706301,8245.0926312068,4832.96314626048,6206.83540002544,3659.93293636031
,65.5,9919.81918865052,9297.82670259345,9194.76458776769,8718.6460083479,9562.90185378325,9904.77043207589,8881.29886948573,8510.22145285628,9506.80515617511,7899.14755191643,3543.58495526741,8260.41311238365,8252.75488621775,8290.79814825375,7982.76550500347,7867.15406007257,3673.18330927521,8349.26099411825,8178.9154481017,7709.96662795081,7939.18837349594,3896.64052815642,7690.06744742454,8136.46832892672,8419.81200941634,8080.98863834832,7624.29071452603,7840.35670987357,7639.82440879372,8095.19106841525,7893.39081726527,7692.92254935233,7559.31523414752,7493.70108729633,6694.92403487429,7687.35915024856,7763.28299589397,7562.22067882308,7597.8067850329,8552.38581916987,7865.14734070398,8120.47296615418,7925.80779517038,7869.73094165372,8391.96945728547,8231.79433970823,8573.81796134443,8491.98830504224,8447.87179489201,8442.10698701356,8055.93031389163,8362.79315033884,8281.09065822591,7968.96739834517,7844.28190921068,8270.07721019622,8198.9931887916,4809.2356753327,6160.09627349742,3642.15315579778
,65.8,9860.78003047464,9243.1561847677,9140.50245662392,8663.90371589119,9503.56037934428,9842.27383618835,8827.30000783998,8458.90577050691,9445.09855035978,7851.43828526548,3537.03756431715,8212.13966794994,8205.06793127009,8242.61918100861,7933.50994932486,7824.25808141494,3668.04308036714,8301.49719942905,8133.87756804322,7667.19025772997,7894.06453193539,3884.97804707599,7648.31573372214,8087.74400615455,8371.04608213654,8030.59336818779,7580.45695694064,7795.36926646876,7595.21156825813,8046.81152029966,7847.05050009687,7648.47198539575,7514.78818648554,7451.46358957941,6660.46795186574,7645.51546467261,7721.05552055549,7519.52672953385,7555.14866575327,8504.59896693191,7816.92388334493,8072.4624919536,7879.09050444458,7824.55071551401,8344.37038504039,8181.13511134889,8522.13648162377,8439.36075761602,8399.6757251559,8392.16749333916,8009.08517999116,8313.94197118415,8232.12719500054,7921.77769519799,7797.12318013114,8222.57764708184,8152.60604482615,4785.54524840811,6113.23496659179,3622.99604031473
,66.1,9801.59440681038,9188.33416628166,9085.94266814651,8609.18465534456,9444.16906881508,9779.70255547783,8773.23630570445,8407.86456818136,9383.04737938522,7803.52971666315,3530.75892825393,8163.94636352594,8157.10495864644,8194.3025876943,7884.28249948713,7780.92921528724,3663.24353121439,8253.15236209147,8088.11350821543,7624.21247397983,7848.3811302834,3873.39386490102,7606.09364141933,8038.56153219045,8321.98880638182,7980.1035082112,7535.9180889386,7749.67358054736,7550.31689898548,7997.89028181854,7799.79334224212,7603.7524020455,7469.97275864858,7408.77510408091,6626.18048543041,7603.57494188497,7678.42445387623,7476.6452709946,7512.77155478936,8456.85530846956,7768.37195970378,8024.53887701915,7832.1234159655,7778.95122663528,8296.1914472198,8130.07368374089,8470.09394696617,8386.75518387925,8350.85731454502,8341.84400486608,7961.81500285589,8264.65409765556,8182.69493371571,7874.33820376936,7749.85106059142,8175.16547060132,8106.06300730486,4761.98188805374,6066.39451582934,3602.25651628716
,66.4,9742.31333529982,9133.17418322795,9031.09349706313,8554.63958887505,9384.68701305792,9717.15166158874,8719.18659594583,8356.90640454748,9321.46832385779,7755.58014924388,3524.57477796665,8115.58916892135,8109.33440196043,8145.63547040055,7834.97081820646,7737.70775817599,3658.56876638982,8205.01821794773,8041.87780133037,7580.35297516043,7802.26773320082,3862.06258164632,7563.09035951191,7989.48385829133,8272.76645247121,7929.58732084973,7491.74669861098,7703.41914148757,7505.60477022077,7949.08063387619,7752.18590232724,7559.00637441521,7425.00064948739,7365.69629101291,6591.48465310307,7561.85969151206,7635.69572280179,7433.70194487944,7470.32381604166,8409.01678155631,7719.63145967749,7976.1996536007,7785.06649887541,7733.35594676628,8247.83327440704,8078.58162264544,8417.82758959054,8334.42814956478,8301.8795049403,8291.39845579312,7914.67088192562,8215.01434927211,8133.34726335321,7827.26370918802,7702.71031856595,8127.42956609542,8059.30837636315,4738.84669346307,6019.8733332504,3579.29628632589
,66.7,9682.38857194027,9078.04047326954,8975.7503836062,8499.94090431136,9325.14514668161,9653.95269048427,8664.78259675558,8305.97660802981,9259.85243253219,7707.30117782815,3518.77317414579,8067.05984604378,8061.64089648112,8096.79277400266,7785.32173605407,7693.76864079979,3653.98310507654,8156.87652211707,7995.46506572806,7536.17414543606,7756.00117918657,3850.73478283959,7519.93797056467,7940.19987334207,8223.34045946711,7879.06761814263,7446.87926088808,7656.43883218309,7460.75812438957,7899.74023927852,7703.89344793369,7513.91788164104,7379.32837694829,7322.45227467058,6556.58658828971,7520.47511163879,7592.67040404711,7390.67334201235,7428.13356355155,8361.14297995534,7670.68381326057,7927.67977245608,7737.52557391255,7687.3240296543,8198.77177201543,8026.90491419419,8365.48263972577,8281.2127446239,8252.33127436064,8240.19528953235,7866.51082060604,8164.66562557948,8083.626722176,7779.61997192971,7654.80437351427,8079.20087948661,8012.07493769466,4715.77475915532,5973.2728822533,3554.51361365228
,67,9621.96296566414,9022.70208556377,8920.05054012375,8444.49805484945,9264.76826983493,9590.22163300165,8610.13112762498,8255.13923995589,9198.30359160351,7658.64904762625,3513.05250157505,8018.4102847581,8013.67084950101,8047.72413078085,7735.14131572905,7649.61965955888,3649.66797028494,8107.80979008906,7948.58667009371,7492.07099098067,7709.62479266378,3839.65659956587,7476.32687840978,7890.15927703749,8173.34817168356,7828.12093752989,7401.71382654333,7608.72526278121,7415.680515179,7850.21035338375,7654.95561446485,7468.30142240404,7333.10791923511,7278.59653181635,6521.41563170264,7478.97068948734,7549.46330679754,7347.41882492449,7385.62643857446,8313.03082792599,7621.51401386639,7878.89760834763,7689.77923870669,7641.43194030894,8149.7241775713,7975.0481846317,8312.97675304398,8228.12036094799,8202.75852584456,8188.92097078138,7818.34620157792,8114.17156987591,8033.73243865883,7731.68886546661,7607.36966394676,8031.09622098208,7964.66236625966,4692.67869575203,5927.30990908897,3528.32286558058
,67.3,9561.55591074243,8967.12798546031,8864.4217544032,8388.99257822748,9204.19598094572,9526.44783197589,8555.47783939284,8204.16284021696,9136.74731843002,7610.04254940753,3507.35422438646,7969.59333341661,7965.603724066,7998.33395055835,7685.05176971401,7605.28506347218,3645.65853721128,8058.33294443347,7901.65035962164,7447.64264326401,7663.21744019212,3828.92918021233,7432.69794282632,7839.83038792397,8122.82440447925,7776.74604357996,7356.36006452883,7560.18635353653,7370.08460223805,7800.18490101105,7605.50282119668,7422.29280458363,7286.30438982305,7233.93453417705,6485.64768329523,7436.82291460003,7505.43182500193,7303.41724498548,7343.08014024076,8264.62985695232,7572.49588210243,7829.78590410183,7641.69865635264,7595.56314508695,8100.57421345941,7923.06056998768,8260.29500972423,8174.57927400827,8152.40086122406,8137.51854786888,7769.81153379873,8063.44024349463,7983.90714277071,7683.68623311028,7559.83866180991,7982.73016427566,7917.06946440604,4669.72588979758,5881.7081029849,3500.78783351137
,67.6,9500.92371256296,8911.47492534594,8808.97312378066,8333.32767668801,9143.46764322258,9462.40926103823,8500.87428282929,8152.84377323841,9075.07911774573,7560.90889419327,3502.14795474644,7920.4119195468,7917.24504252851,7948.6431248217,7634.72196016503,7560.83535519144,3641.6680643097,8008.95386630718,7854.58950972623,7402.7051732255,7616.6754903964,3818.41084720306,7388.76396119013,7789.36463561996,8071.99202676398,7725.11924489085,7311.00483496741,7511.81726721068,7323.99639184371,7749.70662353783,7556.07649892037,7376.01173762416,7239.65026610596,7189.17066610315,6449.55107381898,7394.39233595736,7461.30711631563,7259.92050785616,7300.62806971188,8215.80543931462,7523.22547756065,7780.40424746731,7593.62351960967,7550.0180331446,8051.23326426712,7870.96393488583,8207.47514160772,8120.81020310154,8102.2309477963,8085.94471067919,7720.98868689338,8012.67220181009,7934.35902733053,7635.60964523964,7512.04023189843,7933.91510239945,7869.1875134491,4647.10989848102,5836.91773610019,3472.83412281244
,67.9,9441.09008194996,8856.52856538963,8754.35365628777,8277.9501833307,9083.16271263672,9398.72794531102,8446.69302707377,8101.88138752976,9013.30081012294,7511.54434084152,3497.14033233408,7871.47944242598,7868.90447739859,7899.30759444099,7584.10438186029,7516.36961519732,3637.76397616827,7959.00839677106,7807.29293330238,7357.89778142901,7570.43280029482,3808.13869970053,7344.83481643146,7738.24977628525,8020.80263771132,7673.13491607425,7265.37886072057,7463.41427281832,7277.15188838893,7698.85528880641,7506.62906071977,7329.39313567209,7192.60458730882,7143.90498867372,6412.88080620219,7351.1573743514,7416.61141196825,7216.09743294031,7257.65408302891,8167.06465798652,7474.29111772314,7731.30961732799,7545.56331808548,7504.16270975999,8002.09738978653,7818.8940253352,8154.62276651894,8066.63835663365,8051.9546926658,8034.51291401687,7672.03582064532,7961.91751491025,7884.38149799115,7587.04645122263,7464.03876177016,7884.73833650346,7821.23768952864,4624.51293589934,5792.4102456736,3445.52278467815
,68.2,9382.18463140925,8801.95307901481,8700.3421082642,8223.0574250014,9023.2371854787,9335.73433416259,8392.69060367072,8051.05921597863,8951.86838316635,7462.74107693222,3492.04479108324,7822.26387505016,7820.34937766926,7849.775719898,7533.61786036906,7471.92961557327,3634.00385336259,7908.84884962614,7759.62708881342,7313.05139842303,7523.90723114456,3798.04247887861,7300.68855470736,7686.88868964309,7969.37343361593,7620.93142552359,7219.63950224712,7415.20800939166,7229.80949911063,7647.75935762587,7456.95779583449,7282.51532120972,7145.746645973,7097.92968704622,6375.69509219307,7307.39325298181,7371.45258227617,7172.20108323087,7214.04492122384,8117.80856362334,7425.37132769469,7681.98502487384,7497.53365595472,7458.11633965092,7952.95886599288,7766.60069532283,8101.51921117615,8013.03352926145,8001.82446413984,7983.35781627698,7623.45002885586,7911.1250426773,7834.22729557045,7538.60218479163,7416.21378423499,7835.50267611755,7773.21293930314,4602.05971474254,5748.34071327944,3419.10764185983
,68.5,9323.71335314952,8747.83874219351,8647.06185945026,8168.9235704577,8964.16750455851,9273.52183647558,8338.98585978177,8000.59401809895,8890.7047909115,7414.338408216,3487.17197488374,7773.12470650696,7772.3609703404,7800.72191841452,7483.52247596629,7427.58103397689,3630.10493914371,7859.499774084,7712.21438236505,7268.1337198667,7477.32279900168,3787.74907071525,7256.38102274026,7635.97673337764,7917.84968429311,7568.71603521593,7173.72503629937,7367.2545935425,7181.99388810615,7596.64283381742,7407.54297629685,7235.50877722927,7098.9755115503,7051.26968708866,6337.80829588505,7262.97559704787,7325.70779465669,7127.75731418196,7169.89533206125,8068.63330939715,7376.83888539381,7632.86269952345,7449.6913293535,7411.7467628545,7903.64962451469,7714.30652443359,8048.7280253227,7959.36622377034,7951.36716398044,7931.96626741741,7574.77459361107,7860.23977335231,7783.89900259385,7490.21139899958,7368.06142646149,7786.2663657846,7724.82483625788,4579.9304622825,5704.75374918587,3394.44581591682
,68.8,9265.19946883898,8693.95268364906,8593.77678957408,8115.16677838261,8905.48588935111,9211.38809500809,8285.51304761414,7950.24270992998,8829.60262215143,7366.2827503542,3482.63344986462,7724.23888590169,7724.41955183969,7752.14784536707,7433.68964027808,7383.20581862305,3626.12719396339,7810.43364311094,7664.60824397893,7223.04274896476,7430.20959511439,3777.35335358207,7212.07310367145,7585.39888634397,7866.10798583679,7516.7763587834,7127.42211428829,7319.74044314676,7134.38020720619,7545.87243665333,7358.72555272475,7188.49231185153,7052.29206174432,7004.82508814245,6299.98021620504,7218.64476818297,7280.06535764345,7084.00432677732,7125.7707967061,8019.36307510056,7328.07237038176,7583.69333933227,7402.1340151056,7365.00682053882,7854.04165076564,7661.87947754202,7995.88925663588,7905.96311786425,7901.04376554964,7880.18813003142,7526.39247687058,7809.34995920736,7733.49020091255,7441.85576082729,7319.80372785001,7736.86026508139,7676.53125232087,4558.23123603729,5661.92129464704,3372.37221401161
