,Cycle,A4,A5,A6,A7,A8,A9,A10,A11,A12,A19,A20,A21,A22,A23,A24,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
,17,212.039057535419,216.136761507766,188.518297446118,20.9206313379673,18.6562481287929,18.9376405757184,-2.55325297875743,-1.74039307314251,1.04622269566107,4.96512118903547,3.84381176331453,4.89728130307276,1.01465808242483,0.319093370027076,3.82486448166264,3.64687367424403,56.2186920317013,1.33267939973575,3.67886859282271,5.33401977597214,5.30286258569458,2.88175555652197,4.50160769843615,1.59855917425739,5.96267691578896,1.52440296893656,2.72157354451201,7.35784325850682,0.348121896950488,1.72215480914929,5.39555208000547,7.17345047258368,5.46873705754251,0.871748959926663,-4.67896849638873,2.5705828941509,6.02321336496198,4.28108371862663,5.22992085209034,-0.434979329697399,6.05024973472246,5.30325144904509,6.60120363744682,4.25759932248184,5.10630467232568,0.741420975151868,4.35281149236926,8.02789950990791,6.37170638528869,7.46191197323697,4.07513915769641,4.82390253152744,2.57931144498571,3.1887480489977,0.889511960192976,5.63270240945394,4.60800854773015,3.88331161130282,5.01857128164511,2.41496406920169
,18,325.183308593687,326.527385345821,292.025899338254,31.7551822372711,29.6424679252864,33.9031484163993,-1.03353747797064,2.84168086097816,1.00824647308627,2.82765879685894,3.23765535548637,5.39250810085105,-0.160033413378187,-2.0083723084017,8.42514572906521,0.729327670352177,60.6144520776083,3.57487695178042,1.23763950931243,4.03964338274818,2.92423236044897,3.57521883668778,2.75220636943141,-0.654455406545367,4.32912519035517,1.11698735985374,-0.704780289696828,2.21469626699081,4.51673317340146,2.08957509239781,1.96727567327434,5.43732190731862,2.011291449704,0.870325577181575,-0.57398298356884,2.23702534522045,5.29026885054418,7.95478078390124,8.59611784663139,3.4221650342306,5.26063385740918,3.3946323011096,4.05042068855164,0.954011931630703,2.78421981455995,3.13294702536541,4.71153384636773,3.96997441542908,2.93921782288271,6.33510115081253,0.323238454976945,0.416963542726535,3.61369083794762,4.78607132332036,4.48954281076158,1.36605548191528,-1.35118543860654,-0.316032802161772,2.50809663501423,3.48663707725609
,19,462.06609190193,458.292289859876,415.201545689474,51.9985502389395,54.5468592045204,54.0630754497115,7.85743689550191,6.93272874015065,2.56384166701082,4.7979360050972,3.22878922950713,3.59780260182606,-0.584626643106276,3.09181410490419,8.40050838952357,0.886649614295493,60.8087856334178,3.89526591737331,2.665262339523,-0.812354386514471,0.037532478076173,4.2459779769174,0.992743988811071,-0.89523686010898,5.58932493801922,2.7429911982872,1.47449256809477,3.54078817727122,1.32994407349406,2.53110562819393,2.10826740157108,3.75690349011302,2.15627574360497,3.24388854900826,-3.97550967819325,0.0387757751504978,1.40239768758238,1.45545442219873,4.47227947744341,-2.53580351459686,4.09261126415231,3.29027201996632,3.04843754529429,2.15211305056482,-1.24493516957773,0.33898557601151,3.25965878202669,3.69186380744122,2.35719480834177,4.56851251334501,0.0357298149847338,3.62703672220505,-0.834836344615724,2.17595150136049,-0.530499631693147,0.81436031926296,0.903710309352846,1.67349568411373,-0.582547792037531,-0.433441801565095
,20,631.425739930641,621.119611717908,567.951031687804,79.1956850826828,85.8722080848447,81.8301679168844,7.98038336564741,9.15264669026465,7.00914058620174,2.13319546749517,4.498666104927,4.09046437699089,-1.20199632112508,0.106019960589947,4.05302153863477,3.29370617547511,63.8255873260932,3.45224425578954,-0.681887991748681,1.28699913586979,2.53659355681157,3.61272406550052,1.23753592157209,2.20151986892051,-0.02442200135647,-3.78027289544661,-0.851904423334872,5.18010282221439,2.0565386039566,-0.367028866934561,0.346297359272739,4.88241998985586,0.710395933716427,-1.99370578059734,-1.45012911883441,3.12660502267227,2.48907441450683,3.66831950949927,1.95778810485353,1.57551039737882,2.47393360893284,0.248441001446736,-0.821745805744285,0.00265321981260058,0.0411226749465641,1.13932081357598,1.59062544471817,3.18570107589676,-0.241508507916478,3.42847478145131,-2.01083416418942,2.41819677838157,-0.6893291509341,1.80251841478002,0.0809428916504658,-3.21296339751689,1.60441129269793,6.03945562360104,2.39149888077054,0.571853779053072
,21,828.069556209767,808.50981671907,747.359395043984,116.627844133519,127.504257231557,123.909641145467,17.6790147425445,17.3771831685658,12.4402832309265,3.55069623611917,6.11716871620774,1.10787787198979,-3.8931335764355,-2.73698504803269,1.10074203258137,2.22072666767735,66.2494113094676,2.17914825095295,0.693401785922106,-2.33367357006591,-0.626138871456078,4.47542537885693,1.34746173363283,3.52291636294694,-3.77520088351821,1.29095233956332,2.48132425977428,-0.115627105771182,0.927390816556908,0.405001609166902,1.34906501556407,4.11955102662841,1.01171544499221,-2.85560947164458,0.625740592175134,-0.519710680609478,-0.700244648820899,3.32017154486084,0.0261187638884621,2.17550521829844,1.23888859246972,-3.09037705043738,-2.45825710340341,1.32046367294788,0.809962911967887,-1.26130164851065,3.20036805678546,3.13067361327876,0.442156370107114,0.806467298455573,0.31089976405201,1.71596095323866,-1.10326448754086,0.955550596697776,0.734027245129255,1.53764266514781,0.477256844550084,3.16028443546202,4.32084753865593,2.15356464609977
,22,1045.95705335155,1014.14012799186,948.179479525237,170.146685508588,191.556800373213,187.125547696261,31.4781053672132,27.988353036033,22.3647006279248,-0.064878995883646,4.46224048340537,3.79155545893536,-6.10750921744193,1.61438276751551,2.19463924037154,0.301481247766333,70.1859111305989,0.830348825875262,-2.26266121113622,-1.29015152429292,-0.207806280574914,4.13268960690039,3.56021782540893,-2.06187856929682,-2.16418354332927,-0.601286907151007,0.676035365445841,0.891400831522333,-3.2975207377649,-1.97995139184604,-3.88377997697853,0.150485649408893,4.65365840562345,1.05476150974619,1.92772612076897,-1.57573798508429,1.43461301335446,0.451125446556489,-1.10503616608958,2.39292225948884,1.89408939111217,-4.07060085399507,-5.89865112489724,3.7046758036654,-1.21049558259983,0.220276530820229,-1.85184533475604,-0.687479699903179,-3.37091994098955,1.43535494326215,1.88393538930632,0.370783899692015,0.531437018385532,-3.13243958157727,1.5664227922166,-4.82584736766103,-1.73328835981965,5.69587759493425,5.3958695125325,1.65731792637962
,23,1275.4441834739,1226.85332255719,1157.8841426296,255.455984775009,293.184327987904,283.397137445781,53.9956607791514,43.1440872068952,40.9219331546051,-2.5020580043265,0.155624206197444,-3.80978853153556,-3.2313732722755,0.450325159517888,1.10649617960507,-2.75310810093742,67.1246932333584,-1.31486685400159,1.20416507031359,-0.459505633787103,-3.56463859136102,1.70488806380354,2.3664477251541,-2.54631915951268,-2.32004784410947,-1.87989729474066,-3.40433491352132,-1.43580632494968,-0.700209260875454,-2.12052538294029,-3.28376060620712,-1.31477981696162,-2.61616828274009,0.265459939368611,-0.287933186523333,-1.66911317266795,-3.48041325156464,-3.45270845902951,-1.35410007538712,-3.02490534653225,1.79930703750824,-6.14519565361934,-4.68990760248698,-2.60108486143963,-0.853946533452472,-0.849059093175129,-0.572687522486376,-1.09136088037667,-1.40272056498043,-2.65495677534409,-3.40090087745057,-0.92657284986899,-0.659168353713994,-2.2801718706155,-3.00105920606438,-2.52962067318049,-2.38191589697453,4.95630935584722,0.469312640228509,-0.606786824829669
,24,1501.8466960156,1435.25479232284,1365.60205047746,356.469947041928,416.085150572092,403.046107204716,84.0428104131788,69.9023288676426,66.171163764453,-4.43142166436246,2.83685265416989,-1.90679504711261,-2.7941880602375,0.449189930878219,-2.91823843456723,-1.58832665386717,70.2497067946515,-1.16311710940727,-4.66130844062309,0.336994712676187,0.11444661608266,3.35888342665567,-2.64161839476674,-0.218144732858946,-1.18597410391294,-3.60464477690084,-1.15771683758067,-1.62671488622391,-1.60660164772662,-0.99616020332769,2.13791292129144,-2.44542459056629,-4.08273728523909,-0.858366425588883,-0.730333209600303,1.04986889306929,-1.6140544204145,-5.92185725631271,-4.60047434633407,1.84849807135333,3.46825222304096,-4.49514849550224,-7.26615782188128,-1.41632325680212,-0.379130884668939,-0.889987492369528,0.0543087656210446,-3.25109548163164,-2.56932475672284,-0.294479332281298,-0.0111931553096838,1.52957578680434,-1.11319189473033,-2.15893296714103,-0.428757175989176,-1.21069201748287,0.504241380941494,0.350409687516731,1.64381149124711,4.07566990916621
,25,1715.10503309057,1629.13124450578,1557.88050340297,479.952962156844,570.857708015915,557.390930363396,130.669353842994,108.502248707979,104.005036177364,-3.47312489242449,5.61142819069983,1.54692642508917,-3.31515577376831,-3.35721796957841,-4.52499906341609,-0.434496809472421,74.7769552829682,-3.40207996432537,0.882199556887826,-3.8599644447313,-0.131283311495736,0.251718451705528,-2.22860762753544,-2.17240978460313,-0.76140269447842,-1.03698584010863,-5.53664276685458,-4.47549521336941,-2.74961278870569,-0.443423966768023,-1.90837295041956,-2.737107004677,-0.873919262884556,-2.96206405454268,5.20263258586783,0.155703499196534,0.988802360465797,-0.117384215257516,-2.46983687276997,-2.89722170637424,1.88087626218885,-6.633791078596,-12.0989220056981,-1.03661075609352,1.20162958642959,3.08285795041593,-1.36880655074447,-4.98850008013551,-2.75678891708458,-3.54229915004362,-1.65229633224908,-1.11165654225988,-1.42322442176282,-5.38936122706082,3.20454295612126,-3.25936586692978,0.338204623912134,3.22861614513795,2.40031804438331,4.63301802702699
,26,1908.74611034787,1803.30667881609,1733.14533655236,624.441655899932,758.588222588716,746.88259926426,192.171225148806,158.881761909632,154.53616370185,-6.50053779863538,3.38648226256282,-3.14317873704113,-2.58429802784667,-0.589436628350086,-7.47100257778857,-1.49337135280666,76.2188005189792,-3.13779359681121,-0.949733452342116,0.118577126501805,-1.69483828075363,2.06090316459722,-0.165356586880534,-2.12981122263227,-0.846465888697367,-1.57164661967681,-1.57076491629959,-1.55858349805976,0.249338985176109,-1.90499301551017,1.72495058719414,-4.35746366797957,-6.81881633566718,0.345499833671056,12.9566592891219,1.56427904689872,-2.33836056721611,-1.87754005322404,-5.86440781495776,-1.74826187531926,-3.45242108895582,-9.3149232097212,-14.0663994559382,0.00844216653786134,-1.31456425618262,-0.724288383285966,-1.26683222723932,-5.10879739983011,-0.742205459773686,-5.25327859899289,-2.10270334898541,-3.92530936816866,-1.67602714971827,-4.21442881278153,-3.16331999845579,-0.839320471919109,-1.13505822979323,1.21905656596209,-2.37875297671189,3.33110961009288
,27,2079.68608913754,1957.52785834705,1889.14199629845,781.512537669414,969.72734466423,963.988004889222,291.066787104601,237.769817839425,235.898280840739,-1.46934760842578,2.01048444926755,-5.0378062007776,-3.97603976558821,6.37673933575525,-5.53926124384952,-0.937969110923405,78.0091938650166,0.968040006969659,-0.00435879563974595,0.698732462731641,-1.77732477578365,2.66449417717149,0.692565156125056,-2.61828250535746,-1.787297931794,0.14662613763403,-2.21062961954976,-2.65759219324218,-1.22602959273081,2.79541413559946,-3.20466789435341,-2.67266963026805,-9.64439788877007,5.3615121101393,27.8162086512157,-3.92308647063373,-2.97164122844606,-7.35089349994405,0.133521518292582,2.79388396234435,-9.61756665576422,-7.54668477207724,-16.0435383747727,1.82746421202955,0.800742115076901,-0.759144757932972,-2.47914640128511,-0.134988615159727,3.84796213344498,-5.54933363828377,-1.69636627494037,-3.39517661638229,2.19761849636461,-4.21150711266773,-0.927221418319277,-0.376106236657506,-0.732089411980724,4.94917786945643,0.958418772836012,2.36614145529893
,28,2229.79664471075,2092.77919695123,2028.38033878972,946.827811846182,1195.25784933,1199.03036605991,408.399780055896,332.714660042227,337.782134246485,-1.15396386463863,3.32091168101988,-3.15782893925552,-1.88496886985649,8.56744929058868,-5.3478689847625,2.23261455346756,78.1391718931322,3.74456519075966,0.849367666453873,-0.396034185914232,-0.773901505760932,-3.85169338958804,3.81716800384902,-1.66656460925742,-3.36615759876258,0.58112176681243,2.91771030624568,-0.451208735157707,8.19883173424114,3.41455296960203,0.930798506944029,-3.0827025743888,-5.58783506615418,8.18948904763965,53.5394137869034,-2.06830963395714,0.812258624568585,-4.3837490930573,4.89764844331467,2.64213338126274,-2.36588259865903,-5.85097931308792,-15.8305554706017,1.33692223694925,4.98849549403303,2.5279290469025,-1.34883210537691,3.69352533154597,9.29425878673464,2.05180821842987,1.84545389286632,2.37352788973658,6.41946753313186,-2.40975855479428,4.99813538048556,6.37263387961275,5.66560549402902,3.22056425780193,-0.272247992523717,1.80581297096296
,29,2359.4943816361,2210.78162984526,2149.63333311464,1111.58045841201,1420.86337235284,1438.35105057595,555.480567310958,454.191110878083,473.507357576749,3.03471661517597,1.84403715533654,3.34013385452181,-0.282375172193952,19.6236759701192,-5.13239818994634,3.86055309340281,78.5643887124202,6.97260357076584,6.22296625512809,4.05486706708689,3.98779777246318,0.874093872416324,13.8957798969204,-2.46756872861488,1.3112769860918,6.64260426814008,5.05328411493792,3.37169547695294,11.9208617401005,9.68075572440102,8.40353133971485,2.71172119049561,-4.78376486415254,18.5826792292319,89.3293963006809,2.55503507631647,10.0238066453403,5.65061745708636,3.18178725866665,9.0572297474514,-3.8213788908979,1.22730165807752,-14.6392518457533,8.22754535672675,9.28468409223387,5.74447937365949,-2.98457804093778,8.83954554025831,17.0928207986785,5.79911279753878,7.92377392061417,1.98899468229411,10.201029415955,1.07970769428312,9.70512681662876,11.3752631423031,7.21149031353843,0.517339583124794,2.7372484170146,2.76718373838276
,30,2475.30785013656,2313.55460429929,2254.73038491385,1270.79272436287,1638.20603632792,1670.35692177031,726.904384338644,596.94316326913,643.100183641312,8.84566358890561,1.20156923774221,7.52669384287083,1.05930781473353,31.4889438633122,3.27842294685024,10.3506573329428,79.4233926051052,17.5141729605748,5.75665151710973,10.0030516916909,10.9676129995191,-3.59981195443515,25.4531160378574,3.82014566584803,9.22264010402341,6.81022368465528,15.7017861991953,10.1433493506997,25.4112708290058,14.5786201705332,13.0262938902451,5.36329643112413,-0.0139526297593875,33.6236870801608,150.797843425955,2.80223944653289,12.7916390215037,12.5559188213124,22.8419297242426,12.2925504781551,-3.17522951271712,9.2548837932427,-13.3997503631776,12.816436145431,16.4123019214408,12.3578441372442,0.153158624308162,26.2907961921956,34.687502514159,11.7359139724858,8.91859825020674,12.8965203770604,27.6545912200277,10.1919958394351,18.079152841251,21.0276297887303,17.8401530040019,-0.466663870745833,-1.33954370741822,0.679959012591553
,31,2577.32763759717,2404.57709156654,2346.35918253842,1418.57635888492,1837.16672723306,1885.04611381272,919.729488030261,757.530193704547,843.898069060521,13.7494719924389,-0.107487559323999,14.2045978092715,8.54181064401791,54.8267604065272,8.67211093396054,20.8709931935637,82.1818981698034,32.0779518537524,15.9599998593017,19.0966749848685,20.9815784427196,-6.47535854345551,40.8836025480077,10.9428281178607,20.1829672227309,14.2542759244197,30.9949055681859,15.9035578725043,42.0556885453184,24.9901534757514,23.1759497110702,12.218936815073,4.56304240197051,56.2314917325934,235.11407341002,11.01281523843,26.5795010346128,26.8684982078321,42.6194643039457,33.3210555595156,-2.01361293811851,27.3305258203836,-7.54681541641321,27.482586226216,35.1368238061045,27.8728178886877,8.69797019495854,44.8287073157503,58.5641414525962,27.2911047470125,19.840686504946,29.0354669495441,46.0611757308266,20.7693380148362,25.8869626951305,38.7352837814851,29.291348433198,0.588661264317125,-4.21559517185551,1.63812953783008
,32,2666.03810833534,2482.40931201121,2426.65714813625,1553.52599026221,2015.63124763787,2076.91552019901,1119.97650532028,925.855910778112,1065.32705507968,29.5407009784631,4.1077726974454,33.25377396971,20.5612109659992,85.359279929407,18.7407528849835,37.6518042753551,83.2985383448836,52.9811678359774,29.448488642744,31.0032332246483,33.8801105515831,-6.20892737887971,71.3813920553653,16.1354386045664,36.4582850531083,28.9048916378119,54.5072434517438,29.319172053416,67.8079600740984,52.9735404608214,49.0888502270454,26.7539196067669,13.2695739762285,91.1873866595815,332.44975471734,20.7596259925917,52.6761674777508,48.2397357469104,71.6965249131017,52.9543071330386,1.09469511744919,51.0615196874824,0.238340375568441,49.2538508119751,56.9772938150686,44.3511017873493,17.4278124427901,79.5271425962878,98.0783152892623,54.5971695610074,38.9271888704588,50.1771362642576,75.8015962621375,40.0344715049823,48.4386642787495,67.8702218395006,56.5739565261561,3.26708843758752,-1.97121780727548,0.821170876586166
,33,2742.20376348186,2551.91134601983,2497.05899231119,1673.67057634264,2172.91629637691,2246.84904378525,1319.67156964775,1096.68273205888,1294.87836859945,51.25559739035,1.59060344811815,55.4235787485441,29.6303647574996,133.985839766905,36.5210987580358,60.969327387254,87.0877070322294,85.4021075963083,45.843503289741,54.9992589790545,61.5846396985398,-2.93917458633177,117.126781036469,28.5597063631926,63.1108160430563,51.553322337285,85.9628170974029,53.2986816521388,109.204159196096,80.3993913946929,81.2336644121729,49.6867008185536,26.9433065733806,139.401741468933,423.838939969303,37.0172210082551,85.1541162404701,89.5177178435415,122.379945741945,86.2512213623445,6.40288522278206,90.4035214343403,16.6105542802093,73.1602430787748,97.7396954073988,72.6231593850307,35.1321897900093,128.211056121314,154.579093059536,93.5068107698912,64.4211119049405,85.0416647893617,120.098974444035,74.4836310534984,81.184881466098,114.90484779514,87.0520473968377,-0.65128827351009,0.0529035279937489,3.76157325781196
