,Temperature,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1,J2,J3
,77,6695.89344150438,6759.07170999086,6682.22628257055,6164.34653106382,6985.51294055292,6794.04748476564,6593.93008823956,6634.74172986057,6797.95315194543,6505.33520992202,6450.23986634571,6321.98756676974,3094.30307978196,5655.68535086443,5786.7091907138,6262.27462684972,5898.92756435373,6179.075139655,6052.09407593789,5867.5122926266,6068.36412575653,6171.60282978651,6112.11985993226,6022.48626724258,5990.7533571831,6143.28217003504,6335.87176437184,6170.15794235571,5733.34490517423,6078.13654622657,5716.05370785146,6007.73627234365,5877.35181789846,6051.58082912007,5965.30115062438,6108.78064989308,7078.36624639552,6093.43518511566,6059.82047000737,5401.48189899206,5929.14090506896,6035.87795254688,6345.53239017106,6003.6831123917,6055.76422134066,6246.8991773392,6355.55614065486,6368.52549668878,6466.12437420074,6349.44113025725,6273.25043295799,6410.05424655725,5838.69549273361,5946.42647593458,6226.09311556657,6242.05384360934,6202.42482259615,6456.44688290124,6443.1796362799,6216.68855606634,3226.00074194149,3203.07941747203,3077.05365712568
,77.5,6631.04251600637,6692.56831613143,6617.16513289951,6109.17367994606,6913.07129665466,6725.41570272239,6526.7254035245,6565.8320343386,6728.82392310311,6433.37665316576,6378.62348162746,6251.02598389785,3093.22918472485,5615.1229322327,5744.03843190997,6206.46035099864,5853.87719887647,6124.15208578477,6004.56103271927,5820.39479107777,6017.97798933884,6119.73599205598,6061.38984311674,5974.38293132235,5942.79030471296,6091.65978578799,6274.9446011661,6117.49684947677,5690.04039869923,6029.58522950652,5673.534880674,5958.02049350466,5830.52726685321,6000.92487692119,5917.50482905285,6056.68604630099,7017.51741827049,6047.46359148973,6015.39500902945,5364.80548230254,5885.49840101655,5988.20704289229,6294.83805028548,5956.93689018445,6009.29567870686,6194.58629821738,6298.55399141382,6315.89666557703,6407.50505487624,6298.78692252227,6225.94060926138,6357.80182259011,5796.24134571246,5905.43470642593,6173.4527641214,6192.15042719924,6150.49510184798,6401.04617113302,6385.59599820865,6165.51613804014,3218.17057975567,3197.48070767406,3070.34694672762
,78,6565.85028929976,6626.22536207191,6552.17002675401,6054.04722319662,6840.12643237809,6656.50483818715,6459.39784508141,6497.06370555504,6659.46212306296,6361.65449240799,6306.91996448583,6180.37423618561,3092.19449212398,5573.68433337972,5700.58272311936,6149.76256918076,5807.59228136932,6068.39323382243,5956.18649929677,5772.30812536075,5966.8410934971,6066.85914023101,6009.51756189307,5925.35082929572,5893.84611650395,6039.14398095256,6213.66011466532,6063.78404065134,5645.61629396592,5980.28168774157,5629.75279970405,5907.73911345816,5782.02526872262,5949.37843773706,5868.92835799662,6004.03090975533,6955.25322983808,6000.2461169716,5968.99183131633,5327.56355753188,5841.35465266365,5940.04540436058,6241.90743893849,5909.32132164142,5961.48364262087,6141.80763558594,6240.74693717893,6261.9721903277,6348.33325205268,6247.29253706645,6176.87525856043,6304.17010842437,5752.47968400268,5862.77096409561,6120.16469568926,6140.9767328759,6097.63877900895,6343.87422729594,6327.30110616831,6112.75844817803,3210.46472453629,3192.18762674227,3063.62625509121
,78.5,6500.61296816445,6559.73472567122,6487.21024530402,5998.98503432879,6767.38238824055,6587.39906784117,6391.94648560842,6428.17252756895,6589.83257724701,6290.11853736666,6235.17469028197,6109.90808527676,3091.3895827561,5531.57218742854,5656.42009153332,6092.63369808992,5760.10543373107,6011.96166889883,5907.00526959225,5723.07156429039,5914.97890251739,6013.26533950414,5957.12561138087,5875.07513647135,5843.84503800331,5986.06832449204,6152.00451512943,6009.18531866999,5599.6430485435,5929.79041858379,5584.75523380572,5856.46068470467,5732.36003343223,5896.78994214313,5819.55048751906,5950.5235428644,6891.32098010864,5952.09009456579,5920.61498464751,5289.7449079086,5796.24327519166,5891.00897219774,6187.1722259717,5861.0328959411,5912.03321854025,6088.41322670759,6182.54725631989,6206.85078646243,6288.36687651203,6194.45603453621,6126.56356091427,6249.17329863893,5706.72583946351,5818.10558002539,6065.78598736411,6088.49811949503,6043.83290460224,6285.0661653627,6268.07336426521,6058.30415779758,3202.96199570929,3187.14496538886,3057.08025300751
,79,6435.48785838836,6493.44638367569,6422.23631561877,5944.20007468268,6694.83842830678,6518.33786469548,6324.74699173702,6359.33973550144,6520.31092762598,6218.99617073141,6163.79374685746,6039.93184514217,3090.51684570196,5488.49584366113,5611.56100431058,6034.86136895404,5711.38113337283,5955.17416250854,5856.37705058187,5672.86641976316,5862.43149327915,5958.5219054729,5904.13527494351,5823.43187908884,5792.12685225877,5932.3081024783,6090.27515299683,5953.87536339241,5552.22491287527,5878.03574628096,5538.57636643102,5804.25025141675,5681.51970654159,5842.9216234593,5768.831503712,5895.96605555664,6825.6123410363,5902.69401353324,5870.61453171987,5251.23060491412,5750.12141816598,5841.23749642514,6130.84996563858,5811.87954021987,5861.60072324729,6034.27543504459,6124.06623456927,6150.52552572469,6227.93274022765,6140.54995511206,6075.02986540738,6193.41194526493,5659.15850255683,5771.50186987521,6010.74682984019,6034.9500495857,5989.09456871539,6224.43703842716,6208.03674856069,6002.67432283057,3195.826813323,3182.33776884384,3050.91889204403
,79.5,6370.36731874922,6427.34289572952,6357.6642138016,5889.25162456039,6622.5564758732,6449.22746172323,6257.6897955733,6290.55469522921,6451.02392725036,6148.10847664624,6092.39290489442,5970.13416031912,3089.43891934184,5444.32438373353,5565.77866108264,5976.92259087888,5662.26171883353,5898.41948368626,5805.16361512802,5621.32729176883,5808.86468396941,5902.94463924194,5850.51776036335,5770.9753126628,5739.52289192032,5877.53749911518,6028.2916594926,5897.64848365489,5503.65920080683,5825.29026975312,5491.45499063576,5750.78963497056,5629.85886004089,5788.16724163867,5716.79963391322,5840.62812644485,6758.17908851878,5852.38992614365,5819.22559938845,5211.78448345628,5702.46006988992,5790.99124914822,6073.20217749747,5761.74220913627,5809.50951462529,5979.03970887026,6064.88348927363,6093.27662458321,6166.95978897252,6085.35782921748,6022.05894778087,6136.35432138781,5609.41729229731,5722.75452125182,5955.03381103591,5980.26534591628,5933.55278179071,6162.38520354645,6147.01283829628,5946.06244018412,3189.49176718931,3178.0448334669,3045.17156171527
,80,6305.10686020338,6361.07759038659,6292.87943771164,5834.08230884821,6550.21026602859,6379.89820077361,6190.40722643197,6221.92205204608,6381.5557467644,6077.29659327176,6020.79836567702,5900.54522436334,3088.68271891838,5398.96609811096,5518.67383587008,5918.22513067458,5612.22620705891,5841.53908329008,5752.97703759374,5568.239401233,5754.23438606762,5845.62711459839,5796.24494925104,5717.33535688954,5685.67832178144,5821.83282532119,5965.59726023957,5840.1212346232,5453.773999017,5771.70753110533,5443.45887489978,5696.02887275754,5576.81244821546,5732.36177993157,5663.71653216595,5784.68212518834,6689.03604711073,5800.81473341601,5766.92164546335,5171.47907858893,5653.38534508637,5740.00802157811,6014.52971871091,5710.66836670569,5755.96573523756,5922.27092149983,6004.73625513542,6034.78731078191,6105.45393334936,6028.87642450078,5967.75903706727,6078.16944530378,5557.7169050598,5672.28646806918,5898.71229911717,5924.62890040925,5877.07733145269,6099.1859043122,6085.21469855311,5888.26781449201,3183.83869478694,3174.17528703743,3039.91343892481
,80.5,6239.89510770355,6294.40084587126,6228.04053025689,5778.79184164094,6478.13879801982,6310.55772372741,6123.28524146456,6153.03250427728,6312.09448506156,6006.60661734458,5949.47204740137,5830.96019405409,3087.82957875259,5352.62540795751,5470.78863632495,5859.55582983852,5561.49351800551,5784.19291393699,5699.61270092075,5514.25307259999,5698.77669971301,5786.4460613399,5740.62095699641,5661.79555916722,5630.65222614058,5765.56391518123,5902.3614200908,5781.66905254335,5402.40144133368,5716.88430753147,5394.34376676319,5639.90994248118,5523.02489745424,5675.34306361161,5609.79811838144,5727.37437726097,6618.16767802175,5748.16497739525,5713.42841679449,5130.42101595146,5603.19578661108,5687.64164995836,5954.96792734669,5658.46516261927,5700.66746533311,5864.30681626984,5943.76338140499,5975.30604701797,6042.92571746151,5970.94343182148,5912.13928634456,6018.68670867451,5504.04234358308,5619.47967925636,5841.22975857316,5867.79868318212,5819.6810767439,6034.63331288881,6022.27385187344,5828.99639825447,3178.61981862471,3170.47398566538,3035.27385462483
,81,6174.29244165804,6227.61629427906,6162.81493234935,5723.04916816007,6405.41692503477,6240.92398619566,6055.91967099128,6083.95562959412,6242.23546063242,5935.93446106668,5877.96516599044,5761.48911467342,3086.74635441249,5305.23123159553,5422.04683569715,5800.22541865416,5509.83808838641,5726.46322625862,5645.29909473681,5459.67779117386,5641.89752781722,5724.15680799026,5683.18452958302,5605.35215368142,5574.58860442109,5708.1660258336,5838.86711124302,5722.04402574701,5349.90931082178,5661.31222884087,5344.21811167125,5582.59580048868,5467.96631406928,5617.08268767659,5554.81103102569,5669.05988582658,6545.70389881683,5694.40821062951,5658.55386085059,5088.65901905204,5551.72114497077,5634.23748562903,5894.17173320042,5604.92899886733,5643.74581194101,5805.07748459683,5881.85771000124,5914.81747700983,5979.121001557,5911.52543519271,5854.79083510969,5957.73142258195,5449.07163396486,5564.74372296925,5782.92188056434,5809.5623630669,5761.65026909628,5968.71991817125,5958.46944944158,5768.45860810717,3173.88483552475,3166.96467587434,3030.95620999552
,81.5,6108.16079812225,6159.86936322674,6097.05633224229,5666.51798043913,6331.89215692308,6170.78125233035,5987.57949484177,6014.36146330257,6171.85739540033,5865.10682346262,5805.74102592324,5691.4637033965,3085.49997272071,5256.99542840266,5372.57163918848,5740.36837228308,5457.2108490359,5668.44849331268,5590.20785021039,5404.17379275199,5583.26985950132,5658.24051700393,5624.10716853078,5547.798761279,5517.7606373831,5649.41020509343,5774.93772961622,5660.85790617372,5295.68131345955,5604.91233705913,5292.94211771233,5523.81984010518,5411.64226113736,5558.02445838343,5499.1685106567,5609.88930158757,6471.30940554829,5639.88933209675,5602.00323084197,5045.95434930051,5499.22191344287,5579.37779328494,5832.20984879882,5550.2463176824,5584.89837716394,5744.14509097986,5818.75136515571,5853.28929806952,5913.84995512757,5850.87283189144,5795.69636451825,5894.76364782075,5392.20399996429,5508.27168320044,5723.49325553277,5750.05308817478,5702.64302480809,5901.33952687815,5893.9504494818,5706.42983139705,3169.84991171614,3163.77669474651,3026.9051680221
,82,6040.59904589197,6090.57073183744,6029.35395753932,5608.57909737488,6256.38078053983,6099.09763487438,5918.15223486074,5943.26388365126,6099.66189134289,5793.51143431704,5732.4993281604,5620.61840250311,3084.25993229627,5208.05392228809,5322.29176019734,5679.73993279459,5402.99499677482,5609.7094062665,5533.77244171137,5348.21734631741,5522.74118760887,5587.36082287004,5563.16146432398,5488.56904694287,5459.28059529773,5589.43247479968,5710.47611220691,5598.20244081037,5238.83268262973,5547.20565928212,5240.25056648353,5463.67869383765,5353.93867923976,5497.94344267865,5442.49259760837,5549.32395932298,6395.40503979121,5584.20864287343,5543.19819049391,5002.61740679981,5446.18308958155,5522.60841366497,5768.67886541141,5494.66200579447,5524.08070114785,5682.27096288253,5754.59766216977,5790.71935108556,5847.23058330011,5789.36557117525,5735.04344951246,5830.26941059446,5333.61024060927,5450.03852464495,5662.76877520032,5689.00436205078,5642.64925840949,5831.90305787745,5828.94549905339,5642.73654311148,3165.89533397157,3160.7401510096,3023.36937632996
,82.5,5970.06495944446,6017.59406140187,5957.84918681942,5547.48147854447,6176.53219675608,6023.4947087724,5845.23257767279,5867.87039413495,6023.90585282784,5719.5024382486,5656.10661285207,5546.77730996621,3082.66844051383,5158.34530400037,5270.97823847567,5618.51517354692,5347.38581866766,5550.00190318139,5476.1421667846,5291.97351254325,5460.37993774073,5512.09685590921,5499.97523183981,5427.64161125143,5399.05567535371,5528.19098405442,5645.53741681752,5534.42571125463,5178.87412638475,5487.38600997387,5186.10039134119,5402.11819466272,5295.04485743141,5436.92448098382,5384.52042787851,5487.11920358424,6317.67062880189,5527.37607483432,5481.39614751803,4958.5041713038,5392.35680122611,5463.73487414781,5703.2989137072,5437.91294315548,5461.19762966521,5619.38398522805,5689.31802329102,5726.64609309618,5779.07925349764,5726.68414716896,5672.53280982501,5763.64430850955,5272.41025647259,5389.36982311497,5600.62757081774,5626.27004880524,5581.47484657087,5759.75070556363,5762.56343307535,5577.14832293241,3161.99702669709,3157.51103391707,3020.30880192701
,83,5891.74168165953,5935.87880401301,5876.77702399296,5478.82725164462,6085.70017869036,5938.37768702586,5763.20697156433,5782.42677558313,5938.67438652711,5638.90956839219,5570.68133800848,5465.88984426323,3081.08678611447,5107.30578120452,5217.69050491216,5555.67825425305,5289.35298656609,5489.45139805749,5416.63948274571,5234.25465611527,5395.29253704288,5432.2995965993,5434.47920329183,5365.23877203363,5336.707099041,5464.77674846564,5579.24082448963,5468.86229840289,5115.58865264343,5424.46982900793,5129.96611487629,5338.30034081234,5233.89917599957,5374.75569820687,5324.43026797464,5422.82706050932,6237.74872761373,5468.40657466543,5415.64234845911,4913.18323817942,5337.32108378419,5402.06933242103,5634.66247979453,5379.60637265621,5395.88313201498,5554.94167962286,5622.47592648399,5660.41833884067,5709.33341087103,5661.94223797021,5607.79938729903,5694.36848622372,5207.96288838816,5325.86130141324,5536.56523462293,5560.89430457029,5518.57634759605,5684.42040424871,5694.769536521,5509.22842125611,3158.51542244448,3154.36718470135,3017.40514755587
,83.5,5794.95699024053,5832.95020440688,5773.44811234323,5391.87857159704,5970.41216189267,5830.39732469563,5660.45668638779,5673.63408602092,5831.09825486641,5541.80601077298,5463.91000593422,5367.98651391426,3079.36862311075,5053.66549580984,5161.13758543603,5490.93105717472,5227.99440108923,5427.35098317003,5353.02698279031,5173.11896073409,5326.20400353982,5347.88517431075,5365.22143525388,5299.20008426327,5270.34030571611,5398.41970908659,5510.6296303579,5400.97639479523,5047.47809616928,5356.48036580209,5070.48950295378,5271.4198403774,5169.11961011848,5310.76927163352,5260.70613543676,5355.17227050084,6154.25686576357,5405.72142915215,5344.51704901678,4865.7644570346,5280.73600186726,5335.96460968873,5561.34481776564,5317.94208918937,5326.62153717619,5488.1748127166,5552.77544781179,5590.01575726958,5637.40676056951,5593.34860219698,5539.75932390154,5621.35170129838,5138.98740510127,5257.85807574556,5468.72171336432,5490.63113922566,5452.58723145097,5603.99431718487,5624.60730070381,5437.57643392675,3155.17458744576,3151.54684765701,3014.86026728856
,84,5663.91758558815,5692.75452624768,5631.01028247539,5270.56893878624,5811.58634836027,5681.71381118085,5519.94792310223,5523.22806972892,5682.11630113706,5411.41435622236,5316.63494273394,5236.83844826705,3077.85600840169,4995.55781377449,5098.76227233702,5422.79601465367,5161.00994926578,5362.20466206114,5281.5043003015,5105.32565102178,5250.82109607316,5257.58994729683,5289.87472415388,5226.87024524969,5197.02757715903,5328.28485705224,5438.46153233518,5329.31078871298,4973.10051908825,5280.96494071363,5004.47868279998,5199.95514585818,5098.3494680052,5243.26255580156,5191.02253308625,5281.93868659196,6066.00019322826,5336.12919607236,5265.34215819296,4814.87705596629,5220.89613710059,5263.99199153742,5480.67948881604,5249.14247853198,5251.11858308765,5417.87899315103,5477.84278688996,5511.20163748867,5561.66440466962,5516.18964423446,5466.02450609553,5542.71341386334,5064.33082045175,5182.23785724529,5392.919727589,5411.50614460459,5381.53781367611,5515.64946250257,5549.72006313206,5359.5853486851,3151.57064125941,3148.716137144,3012.48739778229
,84.5,5481.61223243356,5497.52797952314,5432.37147735369,5097.24978907935,5589.16522837525,5473.89725328313,5321.15546662363,5310.93838147563,5470.9394798056,5225.88291698255,5105.98102240625,5050.66495668028,3076.29513999748,4928.62978708398,5025.96868215599,5348.72145059383,5085.33793039665,5292.44530042047,5196.22156850284,5022.94995823105,5165.83294424712,5158.59783041589,5205.21446677274,5143.21716530433,5111.47917483285,5251.465611242,5360.16476689151,5250.10617989689,4888.65575164019,5193.7627006474,4925.96384666535,5121.02204171129,5018.23357403034,5169.36806890676,5111.69995990653,5200.20646628911,5969.9207683987,5255.24898059228,5174.56509219699,4757.09958400366,5154.46876160142,5182.64111352866,5388.94367926195,5165.53229445913,5164.53511111494,5339.73560445627,5393.15135040842,5415.42592860421,5477.78775439115,5421.13576697955,5380.96343775599,5454.70362334352,4980.49470412851,5094.65515798934,5303.17255737744,5318.64336914892,5300.76966027193,5414.99074184492,5466.34029717246,5271.34996957575,3147.855470834,3146.04864871971,3009.96684207405
