,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B06,SYBR,,Unkn,,,33.8884809965782,33.8884809965782,0,17080.1339385752,4.23249127200615,17080.1339385752,0,80,
,B07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,80,
,B08,SYBR,,Unkn,,,32.5136321558497,32.5136321558497,0,33558.1894245149,4.52579852116279,33558.1894245149,0,80,
,B09,SYBR,,Unkn,,,35.3307595260615,35.3307595260615,0,8410.05275963314,3.92479872030988,8410.05275963314,0,80,
,B10,SYBR,,Unkn,,,33.724034821059,33.724034821059,0,18517.1378624185,4.26757385995837,18517.1378624185,0,80,
,B11,SYBR,,Unkn,,,34.1969574720366,34.1969574720366,0,14678.4965268088,4.16668157441184,14678.4965268088,0,80,
,B12,SYBR,,Unkn,,,33.1522444145008,33.1522444145008,0,24522.1405092687,4.38955837656376,24522.1405092687,0,80,
,B13,SYBR,,Unkn,,,34.1054449316426,34.1054449316426,0,15353.4033671204,4.18620465992578,15353.4033671204,0,80,
,B14,SYBR,,Unkn,,,32.6539183625056,32.6539183625056,0,31323.4917244467,4.49587016820505,31323.4917244467,0,80,
,B15,SYBR,,Unkn,,,33.3071998867214,33.3071998867214,0,22724.8232757276,4.35650051452658,22724.8232757276,0,80,
,B16,SYBR,,Unkn,,,33.2893169367245,33.2893169367245,0,22925.3314865035,4.36031562402444,22925.3314865035,0,80,
,B17,SYBR,,Unkn,,,34.091701097359,34.091701097359,0,15457.4104625712,4.18913673951677,15457.4104625712,0,80,
,B18,SYBR,,Unkn,,,35.1951897220055,35.1951897220055,0,8989.19675280378,3.95372088623708,8989.19675280378,0,80,
,B19,SYBR,,Unkn,,,32.0765396150777,32.0765396150777,0,41595.5517323497,4.61904688924722,41595.5517323497,0,80,
,B20,SYBR,,Unkn,,,29.0902625456915,29.0902625456915,0,180356.88153363,5.25613271751696,180356.88153363,0,80,
,B21,SYBR,,Unkn,,,34.7496042668702,34.7496042668702,0,11188.7382517397,4.04878111412415,11188.7382517397,0,80,
,B22,SYBR,,Unkn,,,33.1772311356553,33.1772311356553,0,24222.9907894532,4.38422776404101,24222.9907894532,0,80,
,B23,SYBR,,Unkn,,,33.1070790919928,33.1070790919928,0,25072.2810740327,4.39919384783133,25072.2810740327,0,80,
,B24,SYBR,,Unkn,,,32.4573718491317,32.4573718491317,0,34498.5603582964,4.53780097213144,34498.5603582964,0,80,
,C01,SYBR,,Unkn,,,33.1703146292297,33.1703146292297,0,24305.4304258355,4.38570331641694,24305.4304258355,0,80,
,C02,SYBR,,Unkn,,,37.0126629310318,37.0126629310318,0,3681.16361693411,3.56598512099256,3681.16361693411,0,80,
,C03,SYBR,,Unkn,,,33.078160558545,33.078160558545,0,25430.9898535363,4.40536326460207,25430.9898535363,0,80,
,C04,SYBR,,Unkn,,,35.303940604412,35.303940604412,0,8521.58166796787,3.93052021048489,8521.58166796787,0,80,
,C05,SYBR,,Unkn,,,33.427249900121,33.427249900121,0,21423.4448988475,4.33088930684443,21423.4448988475,0,80,
,C06,SYBR,,Unkn,,,32.9297882244989,32.9297882244989,0,27353.7387229745,4.43701669431799,27353.7387229745,0,80,
,C07,SYBR,,Unkn,,,33.5484758033314,33.5484758033314,0,20184.9295237737,4.30502723739807,20184.9295237737,0,80,
,C08,SYBR,,Unkn,,,34.6790834194829,34.6790834194829,0,11583.1285902361,4.06382587769569,11583.1285902361,0,80,
,C09,SYBR,,Unkn,,,32.3153105638012,32.3153105638012,0,36992.0173840486,4.56810801649705,36992.0173840486,0,80,
,C10,SYBR,,Unkn,,,31.9190006987219,31.9190006987219,0,44942.3624202896,4.65265589761425,44942.3624202896,0,80,
,C11,SYBR,,Unkn,,,33.0236245635892,33.0236245635892,0,26121.4845083423,4.4169978546651,26121.4845083423,0,80,
,C12,SYBR,,Unkn,,,33.7326404375609,33.7326404375609,0,18439.0251436998,4.26573795652762,18439.0251436998,0,80,
,C13,SYBR,,Unkn,,,33.1884345123908,33.1884345123908,0,24090.0477101082,4.38183766011525,24090.0477101082,0,80,
,C14,SYBR,,Unkn,,,32.4306371920578,32.4306371920578,0,34954.6119766753,4.54350448548594,34954.6119766753,0,80,
,C15,SYBR,,Unkn,,,33.4778113978769,33.4778113978769,0,20897.8990693809,4.32010262733414,20897.8990693809,0,80,
,C16,SYBR,,Unkn,,,33.3087491674611,33.3087491674611,0,22707.5351098658,4.35616999435703,22707.5351098658,0,80,
,C17,SYBR,,Unkn,,,32.5742040556224,32.5742040556224,0,32574.3864481408,4.5128762443479,32574.3864481408,0,80,
,C18,SYBR,,Unkn,,,33.1643630793022,33.1643630793022,0,24376.5930461949,4.38697300708092,24376.5930461949,0,80,
,C19,SYBR,,Neg Ctrl,,,NaN,0,0,NaN,NaN,0,0,80,
,C20,SYBR,,Neg Ctrl,,,43.474878532829,43.474878532829,0,153.939530368487,2.18735015730021,153.939530368487,0,80,
,C21,SYBR,,Neg Ctrl,,,NaN,0,0,NaN,NaN,0,0,80,
