,Temperature,A4,A5,A6,A7,A8,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6
,84,3741.97804192487,3521.25666884621,3724.57458496037,3364.9817476288,3515.05529241723,3587.2667668371,3372.96837391307,3525.77844814674,3329.73582788074,3415.29819855036,3476.479818131,3275.13848138272,3254.97325723748,3204.30551663938,3130.3232036188,3324.91930885079,3367.24824219068,3202.99522028927,3352.30144582475,2613.54030318242,3312.32885793582,3430.78075525402,3283.08933451448,3540.96064001972,3388.7030292897,3413.82838769968,3229.11361492201,3229.17537208158,3451.45105031312,3455.39141363386,3245.94200050798,3199.52482299294,3149.03942013332,3147.22233141431,3231.75235652534,3072.91803509317,3096.64395487234,2968.95164552147,3258.96604652577,3105.25840584647,3213.181276083,3141.02729508305,3215.42893517324,3138.77896774822,3193.20044570637,3174.3113677241,3135.67626859607,3224.9295321821,3137.35666188203,3256.5640605688,3119.35627609772,3131.53267953,3274.34573255489,3231.24878743542,3161.15846499733,3217.41616456317,3062.79972505225,3087.59817778363,3060.30453594862,3111.45449536226,3064.35380418387,2888.43171346774
,84.3,3724.08891293372,3506.00607782057,3708.08372885106,3351.2336836478,3501.34699390989,3571.94161496981,3360.11109612592,3510.34987409059,3317.20554180408,3401.38313373752,3460.34155744991,3261.40685419688,3241.98420099263,3191.87390693339,3113.36210961643,3306.19602958711,3347.41792253241,3185.62565157927,3332.75999880911,2605.67455069684,3293.9994701017,3412.97343973477,3261.44606313855,3518.36643021343,3366.91389085564,3391.39414749722,3212.80382474487,3211.00393395681,3429.98814002096,3433.00389178433,3228.58862761074,3180.36705793935,3134.18295242911,3131.36574281905,3213.63183542961,3057.70563269343,3080.43084854591,2954.16012984038,3242.77402144685,3089.26285463,3195.74952477653,3124.46999614767,3199.17300991774,3124.34720675888,3177.15443663012,3156.84023476641,3119.77071184132,3210.24900414782,3120.90478965382,3237.05228693694,3102.27321599472,3113.46130095422,3254.52025576936,3214.34909879542,3145.80841151261,3202.3752993426,3049.1397537372,3074.20505995172,3047.5308469307,3096.36551505163,3049.52361932647,2874.95299453758
,84.6,3705.86337789394,3490.83721372566,3691.07648319281,3337.31654212469,3487.27653143251,3556.06650647719,3346.66810792215,3494.63787206337,3304.51139837647,3386.89185492194,3443.82705847169,3247.8026174723,3228.50599898524,3179.42639622411,3094.84334782806,3285.82485652965,3324.91817855051,3166.76556227789,3310.82559835691,2596.14382648536,3273.73568552502,3394.21963973333,3238.37128371775,3493.78860961459,3343.039956839,3367.25387603885,3195.32772493217,3191.59390834449,3406.87486181034,3408.43975132748,3209.88216767694,3159.41204147355,3118.13867371338,3115.32670357378,3194.03704040002,3041.3101463889,3063.48437158622,2938.10625809715,3225.48443924321,3072.06954263306,3176.66307331421,3106.15406861677,3181.7927157787,3109.48048659508,3159.95106655715,3137.91689195164,3102.98379435721,3194.79987012538,3103.90158042897,3216.48609585885,3084.16241630583,3094.47765342198,3233.1198949396,3196.99774220332,3129.93005279091,3186.58568218044,3033.82757522108,3060.17547194941,3034.06083287747,3080.00323731503,3034.15568014704,2860.69092760199
,84.9,3687.55031512003,3475.72967324707,3673.57032851724,3323.72044515254,3472.92688103954,3539.17457970194,3333.09546097282,3478.68924698222,3291.21108179585,3372.20018849582,3426.71811153426,3233.81695297586,3214.83096701822,3166.72430371581,3073.48477060836,3263.53778279346,3300.0970923073,3146.20893286967,3287.24452184787,2584.89518472868,3251.54818165731,3374.84959048945,3213.03081258805,3467.25468242376,3316.67897080014,3342.07788891049,3176.23109657396,3171.18513430117,3381.73201057086,3381.2055049094,3189.67640223973,3135.77582587126,3100.76916336178,3098.39583200613,3172.60239393479,3023.69600542281,3045.76940340853,2920.54301953741,3207.46990530425,3053.54485567775,3155.5043112766,3086.5004183204,3163.46762343892,3093.66889269724,3141.1512616835,3118.20883939451,3085.21272109432,3178.59153783453,3086.13983130331,3194.46630103148,3064.28471420007,3074.4942460152,3210.49048250593,3179.35271100217,3113.22910862334,3170.24314521232,3016.98076210727,3045.56246844466,3019.77335911952,3062.27483640141,3018.16081642148,2845.38530859023
,85.2,3668.80829044629,3460.14852505372,3655.50823275043,3310.10455105776,3457.83072745477,3521.4539058151,3319.06126274016,3462.11225810267,3277.42395537328,3356.91161285719,3409.24110920662,3219.14836986041,3200.62822890183,3153.36342020788,3049.87801720411,3239.58598332907,3273.22371856131,3123.9256321229,3261.53398319504,2572.37593906985,3227.4042573055,3354.35933984846,3185.48436793787,3439.03200678547,3288.04639465607,3315.13819020596,3155.34478556694,3148.75484574613,3354.63809695143,3351.42591513922,3167.00525491266,3108.61926777694,3082.29188890026,3080.2743592705,3149.36034146374,3004.28370100086,3026.23329417304,2901.61237980658,3188.22436637114,3033.3569232268,3132.35447449693,3065.14263323364,3143.42575720039,3076.72546939176,3120.78989554398,3097.13292204472,3066.04068776972,3161.21404366847,3067.12460568032,3171.15335220689,3042.8157558631,3052.87124192067,3185.94307066432,3160.47717932526,3095.15285608732,3152.62708684795,2998.09972440046,3030.16329610356,3004.06014697787,3042.53111810629,3001.03464340919,2828.54333879063
,85.5,3649.5466468704,3444.03408844014,3636.67256918396,3296.04753621301,3441.9319880523,3502.85524362815,3304.38031105395,3445.19923295736,3262.49584931006,3340.93120963414,3390.35517663274,3203.73450393205,3185.65339716663,3138.8081173565,3024.36692576403,3213.75397842457,3243.88266565562,3099.72581653353,3232.87947953784,2558.69221909152,3200.91052421621,3332.23221105481,3155.31709743057,3409.36732513394,3257.93773683026,3286.01410504452,3132.11225051487,3124.21134596093,3325.49307644915,3317.6531876022,3142.03362280087,3076.80586939093,3062.17341363478,3060.3658795206,3124.55123687263,2982.92128866135,3004.42078474795,2881.16816990108,3167.35918441154,3011.17734908782,3106.89413221497,3041.4029541199,3121.58542501098,3057.44993321527,3099.18141146656,3075.00928870456,3044.99876986605,3142.42927126218,3046.32135272316,3146.1842168676,3019.29123707467,3029.77351558204,3159.32131678127,3139.75379175062,3075.51414460327,3133.4311495526,2977.17876164452,3013.59662073288,2986.63324588513,3020.93008070426,2982.1707066244,2810.23170073829
,85.8,3628.6001838314,3426.96981421036,3616.221758143,3281.13715567944,3424.68409939648,3482.43955942809,3288.51491451624,3427.7381777085,3246.06331411481,3322.82150676396,3369.74364299391,3186.88918709082,3169.01206858287,3122.37119254429,2996.81372581161,3185.61652677092,3210.58520792113,3072.90775184431,3199.03847865515,2543.61389537481,3171.81392745699,3307.05337407884,3122.02196249208,3378.10867288686,3225.76453878075,3254.09683021985,3105.6192889808,3096.53445833448,3293.56902658478,3278.52359665628,3113.6411775912,3038.66608532953,3040.58023838893,3037.74405401286,3097.88091250814,2958.72494176716,2980.0224795024,2858.46398492092,3144.38757376682,2986.32605063364,3079.22281727168,3015.11644730304,3096.45413414312,3034.88287455719,3076.16173188643,3050.8171180293,3020.84066035486,3120.90432875845,3022.87406359125,3118.51452134421,2992.51271472961,3004.43269513372,3129.74531090579,3116.42726021305,3053.28951845335,3112.64135323795,2953.83514300823,2995.16418442676,2966.14137293724,2997.45357056847,2960.43757353269,2789.52145848965
,86.1,3606.23946562127,3408.28024464967,3594.00623682821,3264.75201728767,3405.61888321823,3460.05823872296,3271.24982487328,3409.48496221911,3227.39484595158,3302.22939611667,3346.30358478383,3167.25610249739,3150.14544269137,3103.07830828341,2966.42565599269,3154.17312277952,3172.33117647082,3042.53183642661,3157.80471248687,2526.69486979713,3138.51335797063,3277.18818278878,3083.55930385765,3344.43654327919,3190.94653126322,3218.34395623418,3073.98047170061,3063.87386372437,3257.8171212606,3232.93620056836,3080.73563714516,2991.63797787772,3016.90415365209,3011.0431661511,3067.94134009477,2931.14424757709,2951.30184536224,2832.82925024762,3118.12230865175,2958.36744734835,3047.99427886416,2985.04650864987,3066.20269411073,3006.94043214823,3050.58962755125,3024.19860817618,2992.3067063544,3095.29929281042,2995.7192193388,3087.31643484432,2961.17015392375,2975.40754857925,3095.56343050167,3088.96561250108,3027.99676586214,3089.45851823322,2927.03795499833,2974.40420641094,2940.97557239176,2971.19069224076,2934.27297103226,2764.45207132216
,86.4,3580.95750858242,3386.68610669965,3569.04411253013,3245.44015795357,3383.74614740924,3434.88789074254,3251.06013573716,3388.30458419437,3205.32879121934,3277.24661265251,3318.15053317381,3143.14588272246,3127.05556186419,3078.89328333052,2931.48516469264,3117.02579399015,3124.93378751622,3006.52802609782,3104.19677932866,2507.69034305683,3097.4378168528,3239.90072552039,3037.76948875589,3306.38450674425,3150.79990523066,3176.3369113149,3035.90631383427,3023.38421156951,3215.96633648291,3179.06859781898,3041.9571668726,2933.21838499608,2989.15931192438,2978.80324044258,3031.68987306508,2898.64888736405,2916.44271279494,2802.40364242776,3086.45338248081,2925.62160219902,3010.69468341896,2948.14311840237,3027.33735862538,2971.17021850664,3021.24692830849,2992.95183743549,2958.24320236292,3062.81329080964,2963.25097654465,3051.32289761744,2924.32979026328,2941.10782356827,3054.89914959011,3055.47184324754,2998.52781045169,3062.50325451039,2893.81948241541,2949.37015787748,2908.62085427199,2940.20351166224,2900.70340986149,2734.64576596298
,86.7,3550.0829816696,3360.56615881137,3538.23441433948,3221.52269664947,3356.7549328447,3403.69903546392,3226.04194874591,3360.77723945032,3176.63410262156,3244.20163588591,3280.57153371146,3110.88275670953,3096.55235927237,3046.48348137224,2888.12758321155,3071.52053794127,3065.82638846324,2962.71602524244,3036.56919583859,2486.41375332966,3045.12523223415,3194.07779921729,2983.53976941813,3261.75921618932,3100.32125771675,3125.98890379064,2989.53130972395,2973.51694026731,3165.32195214149,3114.478358772,2996.48627514155,2862.40143574033,2955.58506797454,2939.23335021102,2985.47378747217,2859.77042624944,2874.0705556891,2765.86498980379,3047.96057527441,2886.35205429232,2964.80842427724,2901.26984404005,2977.15819066583,2925.12828450101,2985.12130342051,2956.65432145998,2918.31534698173,3022.24917468653,2924.32504135668,3009.62346055723,2880.15538576588,2900.98315958982,3007.32478945346,3013.8340032259,2963.34805091456,3030.33750291641,2851.18021561216,2917.90540625562,2867.2176018438,2903.23450154204,2857.72550234759,2700.37031834801
,87,3504.65040972083,3322.80020541154,3493.45829952579,3187.51912710132,3317.02248435108,3357.66891541159,3189.97262750185,3317.07148103257,3136.15555515803,3195.88474009351,3226.2349258883,3063.86856873228,3052.08794426473,2999.7186104976,2834.57983285387,3016.81537664061,2994.46664224494,2910.24230335447,2954.62541133783,2462.82742666801,2980.12635677118,3138.28735886362,2920.29414945169,3207.22859441947,3037.30478781176,3066.84719563921,2934.47737770031,2913.28853313475,3104.30133415005,3038.49122779627,2942.84627038311,2781.64748829258,2915.6955326925,2890.61332354407,2927.84686186612,2813.43708704522,2823.67499568504,2723.05465886475,3000.32946170246,2838.92272056161,2910.08478354195,2844.58514448931,2914.16655149496,2868.42450276367,2941.20758149667,2914.04310656544,2872.46267033175,2972.60384495715,2877.03467472822,2961.61692141202,2827.4514826206,2854.71232551982,2951.99264389316,2962.71700709991,2921.47798804222,2991.46932662598,2798.39197395353,2877.70442757885,2815.29549700937,2859.30038187415,2804.58293863257,2661.19371739502
,87.3,3432.11125188673,3262.4513495037,3422.4593844032,3134.07337863877,3254.42922540287,3285.79054870294,3132.84301231898,3244.60249501766,3075.32074654048,3123.99496115131,3146.77816417068,2994.76789263385,2986.86765769486,2932.44188166011,2771.38446503139,2953.17177905479,2912.5309369942,2849.11758114038,2862.14061299337,2438.40510664533,2903.17425867753,3072.77747411459,2848.94667370232,3139.25663521789,2961.07317480549,2999.29236855305,2871.71720125545,2843.7342824312,3032.2145876685,2952.45475445346,2882.08709109124,2695.13182822601,2868.82769811653,2833.4077003278,2858.8486992055,2759.7014254724,2764.98920084949,2674.78572354857,2941.50109086669,2783.40721217853,2846.48401323775,2778.08395675077,2839.93815719176,2801.51030494169,2888.39538869113,2866.01638688256,2821.93059284568,2914.30566733473,2821.50233434243,2908.08760727147,2767.70908723467,2802.81789245388,2890.07683230995,2902.55129029038,2872.64554932657,2943.66224905123,2736.61526828795,2827.32453655661,2754.41638928874,2808.01621860095,2742.32085110711,2618.71959753325
,87.6,3324.616338492,3173.12006374433,3318.33679931377,3054.74651301069,3162.90662914763,3183.27206917837,3049.84695712697,3139.85557956873,2990.0715597087,3025.98631619367,3041.67264707227,2902.62924258336,2899.04256429469,2843.93355322641,2700.20415803442,2881.78995385781,2822.54881639933,2781.36342130758,2764.88284277485,2414.07590510378,2817.17813351795,2998.27534498057,2772.46889196679,3056.97019806738,2872.69605876834,2924.56084999176,2804.64932202146,2768.91475406458,2950.13453372297,2860.23062008481,2816.25909026934,2609.86384877117,2815.15725543509,2769.2421170255,2781.09259080133,2700.34052350219,2700.62066347519,2622.95952296949,2873.28785923345,2720.8004364167,2775.84105999659,2704.73474832009,2758.78378704241,2727.83149343822,2826.98534900172,2813.06759318902,2768.44420211893,2849.10935205658,2758.96375164432,2850.06719480966,2703.74650528812,2746.93168004459,2823.90848126567,2835.73766995657,2817.532480358,2886.33615044303,2668.47854601309,2767.06106685926,2687.64672241234,2750.60055763911,2674.34557769084,2576.05307236451
,87.9,3183.68321513903,3056.20409514432,3182.25033841426,2949.86146593094,3043.85498074999,3051.9832654052,2942.66165385351,3006.29364754101,2882.91019049705,2905.67714117752,2915.73898227967,2791.74710166156,2792.27034833383,2739.07971704986,2626.20740533697,2806.62363662861,2731.87629065332,2711.49724387522,2672.82009267833,2391.25688635066,2729.05024427617,2917.35922254767,2696.99274282231,2962.08209053452,2778.25112429842,2845.54220533295,2735.82311275877,2694.33657540618,2862.20812170908,2766.91859800214,2747.52975887607,2533.37994868369,2756.69507503218,2701.25807406002,2700.83713449206,2638.93912397927,2634.89375506847,2570.93316175333,2799.10420103038,2654.81938231659,2703.23001109187,2630.77021932654,2677.68262965894,2653.45978886043,2759.26889190343,2757.66696865524,2713.8304851119,2779.6899648194,2692.91244513,2789.50343899137,2639.17818291342,2688.9039415777,2756.11405756706,2766.41909031003,2758.27484551584,2820.10510091601,2599.56937368553,2700.26712464191,2620.56352834366,2690.45724010126,2606.56775245678,2535.43989353213
,88.2,3015.83616578058,2916.23112848275,3020.73578377636,2823.82677882679,2902.65279396838,2899.39661459947,2816.32453398003,2852.42880972125,2760.27712584755,2771.71092266222,2779.08530589762,2670.59916107408,2673.94184845463,2626.43764910399,2557.26045264324,2731.2277570554,2646.11730933528,2644.50189374779,2591.15005592732,2370.90050681027,2646.65429192045,2829.84273675752,2626.28549456278,2859.09716971111,2687.55605952832,2765.2840400534,2667.87118730013,2625.23376561366,2774.0467719214,2678.10729838453,2677.8131291011,2471.90169305012,2694.7064565994,2633.78649829443,2626.20192498519,2579.22486257109,2571.77271813534,2522.05593661107,2722.38735309576,2589.73667145964,2633.90758114431,2563.50614568912,2603.66364412936,2584.50248619193,2690.42851549334,2699.34190651039,2659.09161863103,2708.50124639131,2627.27902644441,2727.35100852007,2578.33383908549,2630.21686210038,2688.59535740648,2699.36696042663,2698.19496306243,2747.34233069522,2537.58971303693,2631.96336121285,2558.55655123705,2631.67732101895,2544.19092163549,2497.73196294598
,88.5,2840.11581111989,2768.89416615648,2851.84864302776,2688.7214296165,2755.52433597759,2744.54730568386,2684.78116614308,2698.52302014629,2634.82443443726,2639.86952808204,2649.46227426856,2553.74966270966,2558.33030081213,2519.75804598536,2496.94311225842,2658.12023373089,2568.83009062991,2583.05668366911,2524.80962149108,2354.04370737461,2574.67782242961,2739.80442112896,2563.91901274431,2755.55317748812,2605.53979802552,2686.56394186431,2603.59977601135,2565.02875508028,2689.97901955012,2600.05620990662,2612.06913292088,2426.84513462673,2631.3506200038,2571.77160019715,2560.84804303259,2525.34718211479,2514.75605966303,2478.38814753485,2648.40330422081,2530.72776902245,2570.39825024663,2505.23456456459,2541.53973534058,2524.49896210886,2623.75256055233,2640.66344753414,2606.3200727137,2638.77601147471,2567.20229355379,2665.87438780626,2525.55644694421,2572.62714642851,2624.20326368175,2638.31720702202,2640.20833601029,2672.08545552039,2485.19772865018,2567.87878226249,2505.91685530805,2576.82215100612,2490.95638477887,2464.4367632849
